機型,OHSP-350
系統版本號,1.60.2
描述,OHS
測試日期,2026/2/26
測試時間,21:49:28
照度E(lx),67.08
照度E(fc),6.23
相關色溫(K),100000
黑體距離Duv,0.01281
CIE x,0.1213
CIE y,0.0774
CIE u,0.1316
CIE v,0.1259
CIE u',0.1316
CIE v',0.1889
色差,100
顯色指數Ra,-58.5
R1,-23
R2,-60
R3,-100
R4,-81
R5,-5
R6,-68
R7,-51
R8,-34
R9,-100
R10,-100
R11,-100
R12,-100
R13,-48
R14,-36
R15,-8
輻照度Ee(mW/c㎡),0.087
明暗視覺比S/P,15.421
主波長(nm),472.7
色純度(%),97.9
半寬度(nm),16.4
峰值波長(nm),470.3
中心波長(nm),470.3
質心波長(nm),472.3
紅色比(%),0
綠色比(%),7.5
藍色比(%),92.5
CIE1931 X,153.956
CIE1931 Y,98.217
CIE1931 Z,1017.513
TLCI-2012,1
積分時間(ms),96
峰值信號,46439
暗信號,3282
補償電平,2970
起始波長(nm),380
終止波長(nm),780
波長(nm),[mW/m2/nm]
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0.002808
430,0.002925
431,0.005863
432,0.008874
433,0.024159
434,0.05364
435,0.091423
436,0.139304
437,0.188213
438,0.246023
439,0.321854
440,0.415608
441,0.531128
442,0.659366
443,0.809914
444,0.981222
445,1.190888
446,1.443457
447,1.745966
448,2.12045
449,2.556846
450,3.044217
451,3.674736
452,4.330697
453,5.093088
454,5.943635
455,6.940413
456,8.093764
457,9.416669
458,10.944439
459,12.710345
460,14.745258
461,17.048132
462,19.673964
463,22.63648
464,25.902737
465,29.298578
466,32.694363
467,35.868683
468,38.542641
469,40.230839
470,41.053432
471,40.738338
472,39.641125
473,37.520206
474,34.328606
475,30.964632
476,27.498695
477,24.297886
478,21.516409
479,19.209566
480,17.36091
481,15.842188
482,14.624236
483,13.610885
484,12.732223
485,11.926871
486,11.112576
487,10.263051
488,9.372271
489,8.434969
490,7.50457
491,6.611074
492,5.769248
493,4.999921
494,4.314734
495,3.712648
496,3.211434
497,2.795385
498,2.460878
499,2.183634
500,1.950471
501,1.758956
502,1.59205
503,1.440214
504,1.303439
505,1.171017
506,1.065702
507,0.944643
508,0.830983
509,0.723582
510,0.63254
511,0.552006
512,0.486558
513,0.420609
514,0.357017
515,0.300613
516,0.250419
517,0.214128
518,0.180283
519,0.157552
520,0.135677
521,0.120393
522,0.099258
523,0.079889
524,0.063181
525,0.04835
526,0.040126
527,0.038655
528,0.049865
529,0.056205
530,0.051596
531,0.039877
532,0.017551
533,0.009864
534,0.00692
535,0.00216
536,0.007643
537,0.017269
538,0.016638
539,0.015129
540,0.001623
541,0.002624
542,0.002615
543,0.00261
544,0.000424
545,0
546,0
547,0
548,0
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,0
557,0
558,0
559,0
560,0
561,0
562,0
563,0
564,0
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,0
608,0
609,0
610,0
611,0
612,0
613,0
614,0
615,0
616,0
617,0
618,0
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,0.006905
642,0.011219
643,0.011281
644,0.010016
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,0
678,0
679,0
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,0
730,0
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0.009984
771,0.01156
772,0.011514
773,0.006213
774,0
775,0
776,0
777,0
778,0
779,0
780,0
