機型,OHSP-350
系統版本號,1.60.2
描述,OHS
測試日期,2026-02-26
測試時間,22:42:59
照度E(lx),19.56
照度E(fc),1.82
相關色溫(K),100000
黑體距離Duv,-0.02395
CIE x,0.1615
CIE y,0.0875
CIE u,0.1734
CIE v,0.1409
CIE u',0.1734
CIE v',0.2113
色差,100.00
顯色指數Ra,13.5
R1,-1
R2,71
R3,-3
R4,-52
R5,18
R6,58
R7,29
R8,-13
R9,-100
R10,60
R11,-80
R12,61
R13,16
R14,41
R15,20
輻照度Ee(mW/c㎡),0.017
明暗視覺比S/P,7.389
主波長(nm),466.80
色純度(%),85.3
半寬度(nm),15.4
峰值波長(nm),443.5
中心波長(nm),445.1
質心波長(nm),463.6
紅色比(%),0.6
綠色比(%),77.7
藍色比(%),21.8
CIE1931 X,52.882
CIE1931 Y,28.646
CIE1931 Z,245.885
TLCI-2012,2
積分時間(ms),730.00
峰值信號,60394
暗信號,3108
補償電平,2938
起始波長(nm),380
終止波長(nm),780
波長(nm),[mW/m2/nm]
380,0.014217,
381,0.012425,
382,0.003899,
383,0.003407,
384,0.001306,
385,0.001348,
386,0.000209,
387,0.000165,
388,0.000000,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000000,
394,0.001549,
395,0.002626,
396,0.003631,
397,0.002624,
398,0.001434,
399,0.001047,
400,0.000775,
401,0.000760,
402,0.001378,
403,0.001424,
404,0.001413,
405,0.000512,
406,0.000000,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000000,
413,0.000000,
414,0.000000,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.000034,
421,0.001035,
422,0.001023,
423,0.001001,
424,0.001481,
425,0.002827,
426,0.010498,
427,0.037734,
428,0.084334,
429,0.168373,
430,0.285303,
431,0.474407,
432,0.738275,
433,1.094127,
434,1.524354,
435,2.034792,
436,2.684922,
437,3.351197,
438,4.088799,
439,4.856844,
440,5.646727,
441,6.351442,
442,6.933024,
443,7.286594,
444,7.393263,
445,7.273227,
446,6.927086,
447,6.514001,
448,5.975015,
449,5.422320,
450,4.883819,
451,4.362043,
452,4.007027,
453,3.714247,
454,3.476357,
455,3.285164,
456,3.115285,
457,2.946109,
458,2.764363,
459,2.566661,
460,2.356364,
461,2.135081,
462,1.913669,
463,1.698243,
464,1.496820,
465,1.323357,
466,1.174016,
467,1.044005,
468,0.933179,
469,0.842570,
470,0.767742,
471,0.709250,
472,0.647664,
473,0.592732,
474,0.526233,
475,0.476993,
476,0.437708,
477,0.396452,
478,0.356424,
479,0.309102,
480,0.262026,
481,0.222219,
482,0.192054,
483,0.173093,
484,0.161327,
485,0.160487,
486,0.158907,
487,0.152913,
488,0.135023,
489,0.127394,
490,0.131997,
491,0.137428,
492,0.142840,
493,0.142074,
494,0.139473,
495,0.145007,
496,0.149216,
497,0.160854,
498,0.169270,
499,0.180034,
500,0.184734,
501,0.203727,
502,0.222465,
503,0.236982,
504,0.256512,
505,0.273536,
506,0.295773,
507,0.318507,
508,0.337268,
509,0.356868,
510,0.382041,
511,0.403784,
512,0.430263,
513,0.448640,
514,0.462431,
515,0.473279,
516,0.479402,
517,0.492974,
518,0.504489,
519,0.521985,
520,0.537522,
521,0.554372,
522,0.566382,
523,0.572552,
524,0.578762,
525,0.583127,
526,0.588833,
527,0.595586,
528,0.611331,
529,0.621439,
530,0.623650,
531,0.615904,
532,0.599051,
533,0.588646,
534,0.573280,
535,0.560407,
536,0.554542,
537,0.552382,
538,0.539891,
539,0.521047,
540,0.499999,
541,0.495780,
542,0.483464,
543,0.465198,
544,0.441166,
545,0.413515,
546,0.393110,
547,0.377164,
548,0.358730,
549,0.348224,
550,0.328332,
551,0.302622,
552,0.278846,
553,0.255438,
554,0.243537,
555,0.233251,
556,0.220809,
557,0.213395,
558,0.201770,
559,0.183268,
560,0.162830,
561,0.138712,
562,0.125880,
563,0.118846,
564,0.119481,
565,0.120626,
566,0.109794,
567,0.091211,
568,0.075830,
569,0.070436,
570,0.070404,
571,0.075036,
572,0.065979,
573,0.062953,
574,0.056379,
575,0.052012,
576,0.054759,
577,0.051158,
578,0.040567,
579,0.032716,
580,0.027659,
581,0.021150,
582,0.023302,
583,0.027744,
584,0.029869,
585,0.029246,
586,0.020514,
587,0.021219,
588,0.029406,
589,0.036635,
590,0.043577,
591,0.036813,
592,0.028112,
593,0.024742,
594,0.022790,
595,0.023442,
596,0.020522,
597,0.015824,
598,0.016107,
599,0.018476,
600,0.018430,
601,0.020231,
602,0.015071,
603,0.011390,
604,0.004059,
605,0.002974,
606,0.003824,
607,0.004868,
608,0.007231,
609,0.005719,
610,0.006851,
611,0.010005,
612,0.012530,
613,0.018118,
614,0.019943,
615,0.018340,
616,0.016079,
617,0.012325,
618,0.008309,
619,0.006616,
620,0.002507,
621,0.002278,
622,0.002288,
623,0.002299,
624,0.000637,
625,0.002808,
626,0.008355,
627,0.008596,
628,0.008718,
629,0.003149,
630,0.003144,
631,0.008231,
632,0.009964,
633,0.009875,
634,0.007055,
635,0.001475,
636,0.001794,
637,0.001941,
638,0.001865,
639,0.001166,
640,0.000000,
641,0.007686,
642,0.013830,
643,0.014300,
644,0.012751,
645,0.002093,
646,0.001434,
647,0.002144,
648,0.002009,
649,0.001390,
650,0.001551,
651,0.004376,
652,0.006417,
653,0.006772,
654,0.003692,
655,0.002680,
656,0.003276,
657,0.003287,
658,0.002959,
659,0.001760,
660,0.002011,
661,0.002054,
662,0.002731,
663,0.007242,
664,0.010247,
665,0.010260,
666,0.005251,
667,0.001017,
668,0.000000,
669,0.000000,
670,0.000140,
671,0.003308,
672,0.003436,
673,0.003458,
674,0.001386,
675,0.000000,
676,0.000000,
677,0.000000,
678,0.000000,
679,0.000000,
680,0.000000,
681,0.000142,
682,0.000571,
683,0.000575,
684,0.000579,
685,0.000243,
686,0.004673,
687,0.007511,
688,0.007577,
689,0.005671,
690,0.000605,
691,0.000000,
692,0.000000,
693,0.000000,
694,0.000000,
695,0.000000,
696,0.000000,
697,0.001861,
698,0.002144,
699,0.002159,
700,0.001090,
701,0.000000,
702,0.000000,
703,0.000000,
704,0.000000,
705,0.000000,
706,0.000000,
707,0.000000,
708,0.000000,
709,0.000000,
710,0.000000,
711,0.000000,
712,0.000218,
713,0.000551,
714,0.000557,
715,0.000561,
716,0.000003,
717,0.000000,
718,0.000000,
719,0.000000,
720,0.000000,
721,0.000000,
722,0.000000,
723,0.000000,
724,0.000071,
725,0.000997,
726,0.001808,
727,0.001820,
728,0.001328,
729,0.000000,
730,0.000000,
731,0.000000,
732,0.000000,
733,0.000000,
734,0.000000,
735,0.000000,
736,0.000186,
737,0.000375,
738,0.000378,
739,0.000381,
740,0.000000,
741,0.000000,
742,0.000000,
743,0.000000,
744,0.000000,
745,0.000000,
746,0.000000,
747,0.000685,
748,0.000923,
749,0.000936,
750,0.000712,
751,0.000801,
752,0.009844,
753,0.009962,
754,0.010086,
755,0.003418,
756,0.000000,
757,0.000000,
758,0.000267,
759,0.001353,
760,0.001370,
761,0.001389,
762,0.000352,
763,0.000000,
764,0.005458,
765,0.011725,
766,0.011870,
767,0.010757,
768,0.000482,
769,0.000000,
770,0.028048,
771,0.033150,
772,0.033019,
773,0.018396,
774,0.000000,
775,0.000000,
776,0.000000,
777,0.000000,
778,0.000000,
779,0.000000,
780,0.000000,
