機型,OHSP-350
系統版本號,1.60.2
描述,
測試日期,2026-02-26
測試時間,21:44:28
照度E(lx),432.54
照度E(fc),40.18
相關色溫(K),7260
黑體距離Duv,0.15278
CIE x,0.1988
CIE y,0.7508
CIE u,0.0685
CIE v,0.3879
CIE u',0.0685
CIE v',0.5819
色差,100.00
顯色指數Ra,-36.4
R1,-40
R2,-22
R3,-46
R4,-78
R5,-15
R6,-27
R7,-20
R8,-42
R9,-100
R10,-100
R11,-100
R12,-56
R13,-47
R14,25
R15,-38
輻照度Ee(mW/c㎡),0.077
明暗視覺比S/P,2.274
主波長(nm),534.30
色純度(%),92.4
半寬度(nm),25.7
峰值波長(nm),526.6
中心波長(nm),528.7
質心波長(nm),532.1
紅色比(%),0.1
綠色比(%),99.6
藍色比(%),0.3
CIE1931 X,167.682
CIE1931 Y,633.294
CIE1931 Z,42.500
TLCI-2012,2
積分時間(ms),180.00
峰值信號,54935
暗信號,2036
補償電平,2952
起始波長(nm),380
終止波長(nm),780
波長(nm),[mW/m2/nm]
380,0.000000,
381,0.000000,
382,0.000000,
383,0.000000,
384,0.000000,
385,0.000000,
386,0.000000,
387,0.000000,
388,0.000000,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000000,
394,0.000000,
395,0.000000,
396,0.000000,
397,0.000000,
398,0.000000,
399,0.000000,
400,0.000000,
401,0.000000,
402,0.000000,
403,0.000000,
404,0.000000,
405,0.000000,
406,0.000000,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000000,
413,0.000000,
414,0.000000,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.000000,
421,0.000000,
422,0.000000,
423,0.000000,
424,0.000000,
425,0.000000,
426,0.000000,
427,0.000000,
428,0.000000,
429,0.000000,
430,0.000000,
431,0.000000,
432,0.000000,
433,0.000000,
434,0.000000,
435,0.000000,
436,0.000000,
437,0.000000,
438,0.000000,
439,0.000000,
440,0.000000,
441,0.000000,
442,0.000000,
443,0.000000,
444,0.000000,
445,0.000000,
446,0.000000,
447,0.000000,
448,0.015216,
449,0.041615,
450,0.045259,
451,0.037819,
452,0.007893,
453,0.006768,
454,0.006128,
455,0.005647,
456,0.001088,
457,0.000057,
458,0.000000,
459,0.000000,
460,0.000000,
461,0.000000,
462,0.000000,
463,0.000000,
464,0.000000,
465,0.000000,
466,0.000000,
467,0.000000,
468,0.000000,
469,0.000000,
470,0.000000,
471,0.000000,
472,0.000000,
473,0.000000,
474,0.000000,
475,0.000464,
476,0.004131,
477,0.005511,
478,0.005736,
479,0.003311,
480,0.001375,
481,0.005039,
482,0.014368,
483,0.029156,
484,0.050337,
485,0.079199,
486,0.113656,
487,0.145468,
488,0.168225,
489,0.203783,
490,0.251926,
491,0.309931,
492,0.374475,
493,0.439805,
494,0.514373,
495,0.608889,
496,0.718820,
497,0.845644,
498,0.989323,
499,1.156126,
500,1.348421,
501,1.581625,
502,1.847507,
503,2.149174,
504,2.498497,
505,2.895600,
506,3.312355,
507,3.831419,
508,4.422533,
509,5.089953,
510,5.847287,
511,6.701514,
512,7.653643,
513,8.713783,
514,9.879793,
515,11.144132,
516,12.519818,
517,13.961834,
518,15.454750,
519,16.939327,
520,18.408173,
521,19.800169,
522,21.118547,
523,22.332506,
524,23.377169,
525,24.157473,
526,24.573654,
527,24.650600,
528,24.393497,
529,24.011047,
530,23.356760,
531,22.625267,
532,21.854490,
533,20.946302,
534,19.922539,
535,18.769814,
536,17.588125,
537,16.436020,
538,15.371780,
539,14.383624,
540,13.494353,
541,12.658928,
542,11.928878,
543,11.260418,
544,10.735394,
545,10.174463,
546,9.646094,
547,9.151706,
548,8.661902,
549,8.175358,
550,7.696531,
551,7.211221,
552,6.746994,
553,6.282015,
554,5.833019,
555,5.450183,
556,5.038537,
557,4.645638,
558,4.272626,
559,3.914522,
560,3.582489,
561,3.273464,
562,2.990366,
563,2.737250,
564,2.520783,
565,2.330060,
566,2.163485,
567,1.980534,
568,1.813594,
569,1.679931,
570,1.560388,
571,1.452568,
572,1.330996,
573,1.223870,
574,1.123124,
575,1.043946,
576,0.963623,
577,0.885669,
578,0.805494,
579,0.738307,
580,0.673955,
581,0.608886,
582,0.564283,
583,0.518772,
584,0.480655,
585,0.441416,
586,0.397080,
587,0.363395,
588,0.337886,
589,0.312892,
590,0.289008,
591,0.261776,
592,0.231838,
593,0.211550,
594,0.189678,
595,0.173170,
596,0.155044,
597,0.134105,
598,0.122115,
599,0.112996,
600,0.101544,
601,0.091654,
602,0.076268,
603,0.062546,
604,0.047954,
605,0.042803,
606,0.040668,
607,0.039851,
608,0.040272,
609,0.034246,
610,0.032001,
611,0.027762,
612,0.025297,
613,0.033776,
614,0.033676,
615,0.031386,
616,0.021767,
617,0.013687,
618,0.008109,
619,0.007189,
620,0.001910,
621,0.000000,
622,0.000000,
623,0.000000,
624,0.000000,
625,0.000771,
626,0.001736,
627,0.001745,
628,0.001674,
629,0.000000,
630,0.000000,
631,0.000021,
632,0.000043,
633,0.000043,
634,0.000043,
