機型,OHSP-350
系統版本號,1.60.2
描述,OHS
測試日期,2026-02-26
測試時間,22:05:40
照度E(lx),82.13
照度E(fc),7.63
相關色溫(K),5116
黑體距離Duv,0.07623
CIE x,0.3590
CIE y,0.5755
CIE u,0.1563
CIE v,0.3758
CIE u',0.1563
CIE v',0.5637
色差,97.30
顯色指數Ra,24.8
R1,-5
R2,41
R3,78
R4,2
R5,7
R6,27
R7,67
R8,-18
R9,-100
R10,-21
R11,-20
R12,-16
R13,5
R14,85
R15,-23
輻照度Ee(mW/c㎡),0.015
明暗視覺比S/P,1.406
主波長(nm),558.90
色純度(%),81.0
半寬度(nm),70.3
峰值波長(nm),555.7
中心波長(nm),554.6
質心波長(nm),551.4
紅色比(%),3.1
綠色比(%),95.9
藍色比(%),1.0
CIE1931 X,75.012
CIE1931 Y,120.250
CIE1931 Z,13.700
TLCI-2012,8
積分時間(ms),1900.00
峰值信號,51805
暗信號,4124
補償電平,2926
起始波長(nm),380
終止波長(nm),780
波長(nm),[mW/m2/nm]
380,0.010020,
381,0.008744,
382,0.006489,
383,0.006405,
384,0.003841,
385,0.002171,
386,0.000324,
387,0.001564,
388,0.002475,
389,0.002801,
390,0.001674,
391,0.001647,
392,0.005821,
393,0.008355,
394,0.012188,
395,0.011204,
396,0.009099,
397,0.004828,
398,0.002473,
399,0.005722,
400,0.006525,
401,0.007364,
402,0.003428,
403,0.004084,
404,0.004392,
405,0.004532,
406,0.003099,
407,0.002378,
408,0.001502,
409,0.001588,
410,0.001965,
411,0.002528,
412,0.002593,
413,0.001953,
414,0.000588,
415,0.001257,
416,0.001828,
417,0.002424,
418,0.001630,
419,0.003852,
420,0.007467,
421,0.009566,
422,0.008151,
423,0.004058,
424,0.001396,
425,0.001368,
426,0.003626,
427,0.006109,
428,0.011127,
429,0.013910,
430,0.012180,
431,0.011158,
432,0.010618,
433,0.015386,
434,0.021665,
435,0.028662,
436,0.040207,
437,0.053680,
438,0.069063,
439,0.093385,
440,0.126401,
441,0.164985,
442,0.200695,
443,0.229749,
444,0.251306,
445,0.262532,
446,0.259922,
447,0.245574,
448,0.225561,
449,0.199013,
450,0.172236,
451,0.143702,
452,0.122114,
453,0.109904,
454,0.095488,
455,0.082047,
456,0.069688,
457,0.062764,
458,0.056272,
459,0.053043,
460,0.048309,
461,0.049066,
462,0.047757,
463,0.046807,
464,0.043877,
465,0.045282,
466,0.047758,
467,0.051079,
468,0.055936,
469,0.067761,
470,0.079667,
471,0.094242,
472,0.105490,
473,0.119585,
474,0.134588,
475,0.150604,
476,0.162291,
477,0.171739,
478,0.176649,
479,0.178077,
480,0.174191,
481,0.168331,
482,0.162211,
483,0.159061,
484,0.158837,
485,0.168074,
486,0.175118,
487,0.179438,
488,0.171643,
489,0.168320,
490,0.171231,
491,0.178416,
492,0.187124,
493,0.196390,
494,0.205829,
495,0.220081,
496,0.231558,
497,0.242775,
498,0.253419,
499,0.267975,
500,0.285950,
501,0.310408,
502,0.333479,
503,0.357268,
504,0.388085,
505,0.419832,
506,0.450541,
507,0.484015,
508,0.516874,
509,0.553104,
510,0.594523,
511,0.634896,
512,0.676160,
513,0.715174,
514,0.754306,
515,0.793607,
516,0.833213,
517,0.875408,
518,0.920876,
519,0.965519,
520,1.007907,
521,1.047044,
522,1.087723,
523,1.128943,
524,1.173452,
525,1.219664,
526,1.264098,
527,1.309945,
528,1.351454,
529,1.386281,
530,1.423977,
531,1.459352,
532,1.499154,
533,1.536456,
534,1.567989,
535,1.596151,
536,1.628413,
537,1.656812,
538,1.686207,
539,1.711436,
540,1.742718,
541,1.774087,
542,1.807565,
543,1.834539,
544,1.857969,
545,1.879080,
546,1.899734,
547,1.919155,
548,1.936727,
549,1.949812,
550,1.960592,
551,1.966660,
552,1.967389,
553,1.968729,
554,1.969758,
555,1.972304,
556,1.971134,
557,1.964110,
558,1.953246,
559,1.938694,
560,1.923258,
561,1.907799,
562,1.889152,
563,1.872445,
564,1.852040,
565,1.833649,
566,1.808244,
567,1.779763,
568,1.752037,
569,1.726467,
570,1.700529,
571,1.668097,
572,1.633606,
573,1.597474,
574,1.561863,
575,1.530725,
576,1.499257,
577,1.465912,
578,1.428553,
579,1.388341,
580,1.351714,
581,1.314519,
582,1.284926,
583,1.251606,
584,1.213670,
585,1.174681,
586,1.135261,
587,1.091264,
588,1.052809,
589,1.012682,
590,0.979783,
591,0.946802,
592,0.906602,
593,0.868224,
594,0.823842,
595,0.780706,
596,0.738135,
597,0.694058,
598,0.657691,
