機型,OHSP-350
系統版本號,1.60.2
描述,OHS
測試日期,2026-02-26
測試時間,22:43:34
照度E(lx),85.72
照度E(fc),7.96
相關色溫(K),5107
黑體距離Duv,0.07639
CIE x,0.3584
CIE y,0.5755
CIE u,0.1560
CIE v,0.3758
CIE u',0.1560
CIE v',0.5637
色差,97.59
顯色指數Ra,24.7
R1,-5
R2,41
R3,77
R4,2
R5,7
R6,27
R7,66
R8,-19
R9,-100
R10,-21
R11,-20
R12,-16
R13,5
R14,85
R15,-23
輻照度Ee(mW/c㎡),0.015
明暗視覺比S/P,1.414
主波長(nm),558.80
色純度(%),80.9
半寬度(nm),71.4
峰值波長(nm),555.7
中心波長(nm),554.7
質心波長(nm),550.7
紅色比(%),3.1
綠色比(%),95.9
藍色比(%),1.0
CIE1931 X,78.164
CIE1931 Y,125.505
CIE1931 Z,14.400
TLCI-2012,8
積分時間(ms),2000.00
峰值信號,56689
暗信號,4526
補償電平,2930
起始波長(nm),380
終止波長(nm),780
波長(nm),[mW/m2/nm]
380,0.003478,
381,0.002577,
382,0.001062,
383,0.000579,
384,0.000000,
385,0.000000,
386,0.000000,
387,0.000000,
388,0.000000,
389,0.000000,
390,0.000000,
391,0.000184,
392,0.002086,
393,0.002607,
394,0.004481,
395,0.003941,
396,0.003629,
397,0.001600,
398,0.000659,
399,0.002616,
400,0.002790,
401,0.002945,
402,0.000962,
403,0.001121,
404,0.001282,
405,0.001303,
406,0.000864,
407,0.000152,
408,0.000000,
409,0.000000,
410,0.000080,
411,0.000115,
412,0.000114,
413,0.000073,
414,0.000035,
415,0.000147,
416,0.000155,
417,0.000224,
418,0.000108,
419,0.000678,
420,0.002853,
421,0.003959,
422,0.003581,
423,0.001916,
424,0.000308,
425,0.000000,
426,0.000863,
427,0.001704,
428,0.003224,
429,0.004031,
430,0.003203,
431,0.002786,
432,0.002674,
433,0.004673,
434,0.007876,
435,0.014496,
436,0.027793,
437,0.042070,
438,0.061531,
439,0.090283,
440,0.128056,
441,0.172712,
442,0.211280,
443,0.244172,
444,0.269473,
445,0.281927,
446,0.279991,
447,0.264643,
448,0.245302,
449,0.220094,
450,0.195343,
451,0.168881,
452,0.147006,
453,0.131124,
454,0.111253,
455,0.092633,
456,0.077202,
457,0.067453,
