機型,OHSP-350
系統版本號,1.60.2
描述,OHS
測試日期,2026-02-26
測試時間,22:21:00
照度E(lx),17.06
照度E(fc),1.59
相關色溫(K),8004
黑體距離Duv,-0.14548
CIE x,0.3424
CIE y,0.1629
CIE u,0.3207
CIE v,0.2289
CIE u',0.3207
CIE v',0.3434
色差,92.17
顯色指數Ra,-68.5
R1,-100
R2,-100
R3,-8
R4,-30
R5,-86
R6,-75
R7,50
R8,-100
R9,-100
R10,-100
R11,-85
R12,-100
R13,-100
R14,53
R15,-100
輻照度Ee(mW/c㎡),0.011
明暗視覺比S/P,2.897
主波長(nm),551.90
色純度(%),49.2
半寬度(nm),8.2
峰值波長(nm),632.3
中心波長(nm),633.9
質心波長(nm),548.4
紅色比(%),62.7
綠色比(%),27.6
藍色比(%),9.8
CIE1931 X,52.498
CIE1931 Y,24.980
CIE1931 Z,75.854
TLCI-2012,21
積分時間(ms),1000.00
峰值信號,51598
暗信號,2766
補償電平,2928
起始波長(nm),380
終止波長(nm),780
波長(nm),[mW/m2/nm]
380,0.015109,
381,0.015782,
382,0.008020,
383,0.006484,
384,0.001598,
385,0.001790,
386,0.000539,
387,0.000426,
388,0.000000,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000160,
394,0.002207,
395,0.002693,
396,0.002794,
397,0.001101,
398,0.000558,
399,0.001959,
400,0.001867,
401,0.001770,
402,0.001984,
403,0.002862,
404,0.003074,
405,0.001819,
406,0.000621,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000000,
413,0.000000,
414,0.000000,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.001001,
421,0.002812,
422,0.002779,
423,0.002229,
424,0.001149,
425,0.000863,
426,0.002111,
427,0.007747,
428,0.015703,
429,0.026573,
430,0.029918,
431,0.039061,
432,0.054181,
433,0.085829,
434,0.128723,
435,0.181309,
436,0.250018,
437,0.321001,
438,0.401938,
439,0.498654,
440,0.615744,
441,0.750344,
442,0.896813,
443,1.062206,
444,1.240921,
445,1.441114,
446,1.642793,
447,1.840985,
448,2.017179,
449,2.154515,
450,2.254379,
451,2.299776,
452,2.284349,
453,2.192670,
454,2.044352,
455,1.865937,
456,1.675609,
457,1.490085,
458,1.318593,
459,1.176446,
460,1.062558,
461,0.977130,
462,0.906395,
463,0.845567,
464,0.786522,
465,0.732056,
466,0.675887,
467,0.613985,
468,0.549649,
469,0.492216,
470,0.437490,
471,0.393044,
472,0.339852,
473,0.295937,
474,0.249236,
475,0.220945,
476,0.204342,
477,0.186727,
478,0.172156,
479,0.151269,
480,0.127971,
481,0.108254,
482,0.091516,
483,0.082433,
484,0.075972,
485,0.078878,
486,0.079032,
487,0.073134,
488,0.053930,
489,0.042357,
490,0.041202,
491,0.040732,
492,0.040832,
493,0.036639,
494,0.030922,
495,0.030841,
496,0.029481,
497,0.032520,
498,0.032211,
499,0.033707,
500,0.029818,
501,0.039224,
502,0.046622,
503,0.049929,
504,0.057351,
505,0.062374,
506,0.072002,
507,0.080129,
508,0.086307,
509,0.092064,
510,0.104500,
511,0.113577,
512,0.128328,
513,0.135228,
514,0.140089,
515,0.139685,
516,0.134803,
517,0.135496,
518,0.135593,
519,0.141897,
520,0.143480,
521,0.145648,
522,0.143297,
523,0.138876,
524,0.135300,
525,0.132690,
526,0.133243,
527,0.136135,
528,0.144664,
529,0.150046,
530,0.151800,
531,0.145022,
532,0.133985,
533,0.126196,
534,0.116966,
535,0.108186,
536,0.106626,
537,0.108284,
538,0.103234,
539,0.097307,
540,0.089422,
541,0.096552,
542,0.093145,
543,0.085475,
544,0.074558,
545,0.063187,
546,0.059988,
547,0.058125,
548,0.055628,
549,0.060604,
550,0.058189,
551,0.052081,
552,0.047013,
553,0.040615,
554,0.043427,
555,0.044192,
556,0.048496,
557,0.056804,
558,0.060774,
559,0.056600,
560,0.047885,
561,0.035080,
562,0.031430,
563,0.031904,
564,0.039373,
565,0.047546,
566,0.041298,
567,0.028486,
568,0.016943,
569,0.016410,
570,0.021670,
571,0.028732,
572,0.022732,
573,0.021958,
574,0.018514,
575,0.016649,
576,0.020522,
577,0.019884,
578,0.014805,
579,0.012062,
580,0.011671,
581,0.011542,
582,0.020889,
583,0.037706,
584,0.053696,
585,0.067613,
586,0.075190,
587,0.088077,
588,0.108359,
589,0.128288,
590,0.150430,
591,0.155740,
592,0.159320,
593,0.165688,
594,0.170256,
595,0.177422,
596,0.179036,
597,0.186416,
598,0.203837,
599,0.221439,
600,0.225663,
601,0.223718,
602,0.214536,
603,0.210092,
604,0.209468,
605,0.217019,
606,0.238023,
607,0.296732,
608,0.435669,
609,0.605765,
610,0.711543,
611,0.765710,
612,0.880726,
613,1.190558,
614,1.546266,
615,1.658840,
616,1.436205,
617,1.020288,
618,0.684440,
619,0.523616,
620,0.482449,
621,0.471927,
622,0.463915,
623,0.453353,
624,0.455112,
625,0.490199,
626,0.548199,
627,0.606250,
628,0.747080,
629,1.173190,
630,2.118311,
631,3.284278,
632,3.925011,
633,3.827538,
634,3.271127,
635,2.884640,
636,2.775064,
637,2.528068,
638,1.857533,
639,1.050971,
640,0.504135,
641,0.267408,
642,0.191919,
643,0.160601,
644,0.147931,
645,0.157470,
646,0.244626,
647,0.405703,
648,0.604981,
649,0.694428,
650,0.602973,
651,0.419544,
652,0.282353,
653,0.198285,
654,0.155052,
655,0.129260,
656,0.112979,
657,0.103874,
658,0.093987,
659,0.081132,
660,0.069315,
661,0.057156,
662,0.043725,
663,0.045045,
664,0.048036,
665,0.041925,
666,0.024735,
667,0.007624,
668,0.003289,
669,0.010604,
670,0.023123,
671,0.035281,
672,0.034170,
673,0.022432,
674,0.007800,
675,0.002602,
676,0.002093,
677,0.002105,
678,0.001252,
679,0.000000,
680,0.000000,
681,0.000113,
682,0.000721,
683,0.001608,
684,0.003190,
685,0.003285,
686,0.011193,
687,0.015784,
688,0.015769,
689,0.012323,
690,0.002629,
691,0.000908,
692,0.001228,
693,0.000793,
694,0.000800,
695,0.000454,
696,0.000792,
697,0.005239,
698,0.005666,
699,0.006648,
700,0.004309,
701,0.002138,
702,0.001827,
703,0.000000,
704,0.000000,
705,0.000000,
706,0.000000,
707,0.000000,
708,0.000000,
709,0.000214,
710,0.000540,
711,0.000543,
712,0.001838,
713,0.002932,
714,0.003487,
715,0.003127,
716,0.001003,
717,0.000034,
718,0.000000,
719,0.000000,
720,0.000000,
721,0.000000,
722,0.000000,
723,0.000000,
724,0.000250,
725,0.002794,
726,0.003532,
727,0.003556,
728,0.001792,
729,0.000036,
730,0.000009,
731,0.000009,
732,0.000002,
733,0.000000,
734,0.000000,
735,0.000000,
736,0.000000,
737,0.000657,
738,0.000828,
739,0.000835,
740,0.000717,
741,0.002578,
742,0.002605,
743,0.002638,
744,0.001062,
745,0.000000,
746,0.000000,
747,0.001615,
748,0.002176,
749,0.002206,
750,0.001678,
751,0.000900,
752,0.010876,
753,0.011153,
754,0.011292,
755,0.003973,
756,0.000000,
757,0.000000,
758,0.000482,
759,0.003311,
760,0.003352,
761,0.003400,
762,0.001090,
763,0.000000,
764,0.006186,
765,0.013013,
766,0.013173,
767,0.011800,
768,0.000542,
769,0.000176,
770,0.019500,
771,0.022738,
772,0.022806,
773,0.012356,
774,0.001309,
775,0.001153,
776,0.001106,
777,0.000558,
778,0.000000,
779,0.000000,
780,0.000000,
