機型,OHSP-350
系統版本號,1.60.2
描述,OHS
測試日期,2026-02-26
測試時間,22:29:31
照度E(lx),693.49
照度E(fc),64.43
相關色溫(K),1661
黑體距離Duv,-0.11830
CIE x,0.3712
CIE y,0.1768
CIE u,0.3391
CIE v,0.2422
CIE u',0.3391
CIE v',0.3633
色差,95.15
顯色指數Ra,-113.0
R1,-59
R2,-100
R3,-100
R4,58
R5,-100
R6,-100
R7,-68
R8,63
R9,-56
R10,-100
R11,14
R12,-100
R13,-100
R14,-77
R15,-32
輻照度Ee(mW/c㎡),0.470
明暗視覺比S/P,3.872
主波長(nm),540.30
色純度(%),37.3
半寬度(nm),13.6
峰值波長(nm),629.8
中心波長(nm),628.7
質心波長(nm),553.7
紅色比(%),73.5
綠色比(%),3.6
藍色比(%),23.0
CIE1931 X,2131.972
CIE1931 Y,1015.355
CIE1931 Z,2596.263
TLCI-2012,1
積分時間(ms),35.00
峰值信號,56077
暗信號,2617
補償電平,2964
起始波長(nm),380
終止波長(nm),780
波長(nm),[mW/m2/nm]
380,0.000000,
381,0.000000,
382,0.000000,
383,0.000000,
384,0.000000,
385,0.000000,
386,0.000000,
387,0.000000,
388,0.000000,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000000,
394,0.000000,
395,0.000000,
396,0.000000,
397,0.000000,
398,0.000000,
399,0.000000,
400,0.000000,
401,0.000000,
402,0.000000,
403,0.000000,
404,0.000000,
405,0.000000,
406,0.000000,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000000,
413,0.000000,
414,0.000000,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.000000,
421,0.000000,
422,0.000000,
423,0.000000,
424,0.000000,
425,0.000000,
426,0.000000,
427,0.000000,
428,0.000000,
429,0.000000,
430,0.000000,
431,0.003982,
432,0.025618,
433,0.086887,
434,0.183716,
435,0.309816,
436,0.464385,
437,0.630892,
438,0.828738,
439,1.057270,
440,1.321094,
441,1.627506,
442,1.996221,
443,2.433784,
444,2.969273,
445,3.597935,
446,4.337641,
447,5.185775,
448,6.138757,
449,7.229409,
450,8.501409,
451,10.143892,
452,11.881044,
453,13.789593,
454,15.919225,
455,18.400755,
456,21.258877,
457,24.487291,
458,28.206465,
459,32.494156,
460,37.428490,
461,43.057667,
462,49.514229,
463,56.856079,
464,64.970345,
465,73.428703,
466,81.971916,
467,90.114876,
468,97.081337,
469,101.601997,
470,103.904686,
471,103.321655,
472,100.763893,
473,95.584366,
474,87.710754,
475,79.372971,
476,70.695610,
477,62.576866,
478,55.445541,
479,49.499840,
480,44.807575,
481,40.941162,
482,37.841087,
483,35.238098,
484,33.003845,
485,30.952673,
486,28.898573,
487,26.786135,
488,24.607288,
489,22.319160,
490,20.015936,
491,17.784239,
492,15.674063,
493,13.718921,
494,11.967638,
495,10.409851,
496,9.100143,
497,7.982588,
498,7.071935,
499,6.324518,
500,5.715975,
501,5.193955,
502,4.719327,
503,4.299623,
504,3.901260,
505,3.525579,
506,3.213950,
507,2.874197,
508,2.556101,
509,2.250587,
510,1.971122,
511,1.717757,
512,1.509876,
513,1.314841,
514,1.140252,
515,0.978845,
516,0.838528,
517,0.733424,
518,0.635816,
519,0.561218,
520,0.498243,
521,0.445750,
522,0.395144,
523,0.339509,
524,0.289894,
525,0.241626,
526,0.205787,
527,0.179495,
528,0.167202,
529,0.150787,
530,0.124988,
531,0.096736,
532,0.066495,
533,0.044819,
534,0.027426,
535,0.009737,
536,0.004758,
537,0.007601,
538,0.006810,
539,0.005541,
540,0.000000,
541,0.000000,
542,0.000000,
543,0.000000,
544,0.000000,
545,0.000000,
546,0.000000,
547,0.000000,
548,0.000000,
549,0.000000,
550,0.000000,
551,0.000000,
552,0.000000,
553,0.000000,
554,0.000000,
555,0.000000,
556,0.000000,
557,0.000000,
558,0.000000,
559,0.000000,
560,0.000000,
561,0.000000,
562,0.000000,
563,0.000000,
564,0.000000,
565,0.000000,
566,0.000000,
567,0.000000,
568,0.000000,
569,0.000000,
570,0.000000,
571,0.000000,
572,0.000000,
573,0.000000,
574,0.000000,
575,0.000000,
576,0.001736,
577,0.012528,
578,0.021525,
579,0.031299,
580,0.045528,
581,0.060281,
582,0.093614,
583,0.132765,
584,0.168104,
585,0.207973,
586,0.254299,
587,0.327312,
588,0.402457,
589,0.489207,
590,0.584262,
591,0.689855,
592,0.837446,
593,1.040452,
594,1.305196,
595,1.638407,
596,1.988646,
597,2.433405,
598,2.941063,
599,3.512372,
600,4.166811,
601,4.926746,
602,5.792333,
603,6.665358,
604,7.750167,
605,8.974266,
606,10.376098,
607,11.963876,
608,13.791304,
609,15.827579,
610,17.847124,
611,20.416531,
612,23.334450,
613,26.704279,
614,30.506598,
615,34.305428,
616,39.006790,
617,44.151875,
618,49.652451,
619,55.416725,
620,61.386711,
621,67.654709,
622,73.671700,
623,81.261452,
624,90.074905,
625,100.347206,
626,112.238419,
627,124.022102,
628,136.262909,
629,144.833298,
630,146.383179,
631,142.233154,
632,133.429260,
633,118.833717,
