機型,OHSP-350
系統版本號,1.60.2
描述,OHS
測試日期,2026-02-26
測試時間,22:23:16
照度E(lx),12.12
照度E(fc),1.13
相關色溫(K),100000
黑體距離Duv,-0.15002
CIE x,0.3320
CIE y,0.1482
CIE u,0.3227
CIE v,0.2161
CIE u',0.3227
CIE v',0.3242
色差,94.08
顯色指數Ra,-72.4
R1,-100
R2,-85
R3,20
R4,-75
R5,-100
R6,-96
R7,41
R8,-100
R9,-100
R10,-100
R11,-100
R12,-100
R13,-100
R14,61
R15,-100
輻照度Ee(mW/c㎡),0.008
明暗視覺比S/P,3.134
主波長(nm),554.80
色純度(%),56.6
半寬度(nm),8.2
峰值波長(nm),632.3
中心波長(nm),633.9
質心波長(nm),545.0
紅色比(%),63.9
綠色比(%),25.4
藍色比(%),10.8
CIE1931 X,39.745
CIE1931 Y,17.744
CIE1931 Z,62.235
TLCI-2012,18
積分時間(ms),1300.00
峰值信號,50418
暗信號,3187
補償電平,2924
起始波長(nm),380
終止波長(nm),780
波長(nm),[mW/m2/nm]
380,0.009274,
381,0.009453,
382,0.004991,
383,0.003605,
384,0.000000,
385,0.000000,
386,0.000000,
387,0.000000,
388,0.000000,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000241,
393,0.000419,
394,0.001236,
395,0.001472,
396,0.001393,
397,0.000654,
398,0.000334,
399,0.002965,
400,0.002971,
401,0.002914,
402,0.000484,
403,0.001093,
404,0.001332,
405,0.001327,
406,0.000733,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000312,
411,0.000529,
412,0.000526,
413,0.000380,
414,0.000000,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000518,
420,0.002216,
421,0.004020,
422,0.003677,
423,0.002416,
424,0.001046,
425,0.000815,
426,0.002391,
427,0.007169,
428,0.014787,
429,0.024360,
430,0.027827,
431,0.036357,
432,0.047783,
433,0.072029,
434,0.103175,
435,0.143361,
436,0.199206,
437,0.257343,
438,0.322239,
439,0.399594,
440,0.493961,
441,0.605597,
442,0.727762,
443,0.863364,
444,1.009629,
445,1.168182,
446,1.332452,
447,1.496101,
448,1.644998,
449,1.759880,
450,1.845227,
451,1.889088,
452,1.884252,
453,1.814097,
454,1.689946,
455,1.541323,
456,1.381792,
457,1.228180,
458,1.088278,
459,0.971910,
460,0.876646,
461,0.804440,
462,0.741926,
463,0.692293,
464,0.643663,
465,0.600977,
466,0.553948,
467,0.503855,
468,0.453491,
469,0.408485,
470,0.363314,
471,0.323748,
472,0.278995,
473,0.241655,
474,0.201984,
475,0.179100,
476,0.164933,
477,0.151166,
478,0.136304,
479,0.118381,
480,0.098784,
481,0.083620,
482,0.071836,
483,0.062960,
484,0.056446,
485,0.058102,
486,0.058886,
487,0.056493,
488,0.040314,
489,0.030729,
490,0.027194,
491,0.027423,
492,0.027921,
493,0.026392,
494,0.022141,
495,0.023139,
496,0.021769,
497,0.022952,
498,0.021670,
499,0.022971,
500,0.020821,
501,0.029006,
502,0.033437,
503,0.035765,
504,0.043808,
505,0.047834,
506,0.054934,
507,0.060555,
508,0.063106,
509,0.067946,
510,0.077498,
511,0.085954,
512,0.097108,
513,0.100000,
514,0.101297,
515,0.101254,
516,0.098283,
517,0.099927,
518,0.099926,
519,0.105168,
520,0.108642,
521,0.111598,
522,0.108511,
523,0.101777,
524,0.094638,
525,0.092198,
526,0.093858,
527,0.098183,
528,0.103147,
529,0.104388,
530,0.104874,
531,0.097984,
532,0.091930,
533,0.085824,
534,0.078088,
535,0.069833,
536,0.068725,
537,0.069225,
538,0.068003,
539,0.062295,
540,0.057089,
541,0.062714,
542,0.059951,
543,0.054319,
544,0.044876,
545,0.036578,
546,0.035901,
547,0.036030,
548,0.033966,
549,0.037617,
550,0.033689,
551,0.028314,
552,0.023475,
553,0.019645,
554,0.024666,
555,0.026900,
556,0.031399,
557,0.037137,
558,0.039370,
559,0.035813,
560,0.030309,
561,0.021805,
562,0.018735,
563,0.018999,
