機型,OHSP-350
系統版本號,1.60.2
描述,OHS
測試日期,2026-02-26
測試時間,21:51:30
照度E(lx),121.89
照度E(fc),11.32
相關色溫(K),1001
黑體距離Duv,-0.00781
CIE x,0.6962
CIE y,0.3033
CIE u,0.5307
CIE v,0.3468
CIE u',0.5307
CIE v',0.5202
色差,100.00
顯色指數Ra,5.7
R1,-2
R2,75
R3,25
R4,-36
R5,-5
R6,92
R7,-9
R8,-94
R9,-100
R10,68
R11,-21
R12,79
R13,23
R14,56
R15,-51
輻照度Ee(mW/c㎡),0.058
明暗視覺比S/P,0.047
主波長(nm),622.70
色純度(%),99.9
半寬度(nm),13.4
峰值波長(nm),629.8
中心波長(nm),628.5
質心波長(nm),626.6
紅色比(%),98.4
綠色比(%),1.6
藍色比(%),0.0
CIE1931 X,409.592
CIE1931 Y,178.456
CIE1931 Z,0.284
TLCI-2012,2
積分時間(ms),130.00
峰值信號,51470
暗信號,3306
補償電平,2970
起始波長(nm),380
終止波長(nm),780
波長(nm),[mW/m2/nm]
380,0.000000,
381,0.000000,
382,0.000000,
383,0.000000,
384,0.000000,
385,0.000000,
386,0.000000,
387,0.000000,
388,0.000000,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000000,
394,0.000000,
395,0.000000,
396,0.000000,
397,0.000000,
398,0.000000,
399,0.000000,
400,0.000000,
401,0.000000,
402,0.000000,
403,0.000000,
404,0.000000,
405,0.000000,
406,0.000000,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000000,
413,0.000000,
414,0.000000,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.000000,
421,0.000000,
422,0.000000,
423,0.000000,
424,0.000000,
425,0.000000,
426,0.000000,
427,0.000000,
428,0.000000,
429,0.000000,
430,0.000000,
431,0.000000,
432,0.000000,
433,0.000000,
434,0.000000,
435,0.000000,
436,0.000000,
437,0.000000,
438,0.000000,
439,0.000000,
440,0.000000,
441,0.000000,
442,0.000000,
443,0.000000,
444,0.000000,
445,0.000000,
446,0.000000,
447,0.000000,
448,0.015190,
449,0.037425,
450,0.037363,
451,0.029402,
452,0.000792,
453,0.000000,
454,0.000000,
455,0.000000,
456,0.000000,
457,0.000000,
458,0.000000,
459,0.000000,
460,0.000000,
461,0.000000,
462,0.000000,
463,0.000000,
464,0.000000,
465,0.000000,
466,0.000000,
467,0.000000,
468,0.000000,
469,0.000000,
470,0.000000,
471,0.000000,
472,0.000000,
473,0.000000,
474,0.000000,
475,0.000000,
476,0.000000,
477,0.000000,
478,0.000000,
479,0.000000,
480,0.000000,
481,0.000000,
482,0.000000,
483,0.000000,
484,0.000000,
485,0.000000,
486,0.000000,
487,0.000000,
488,0.000000,
489,0.000000,
490,0.000000,
491,0.000000,
492,0.000000,
493,0.000000,
494,0.000000,
495,0.000000,
496,0.000000,
497,0.000000,
498,0.000000,
499,0.000000,
500,0.000000,
501,0.000000,
502,0.000000,
503,0.000000,
504,0.000000,
505,0.000000,
506,0.000000,
507,0.000000,
508,0.000000,
509,0.000000,
510,0.000000,
511,0.000000,
512,0.000885,
513,0.001269,
514,0.001272,
515,0.000817,
516,0.000000,
517,0.000000,
518,0.000000,
519,0.000000,
520,0.000000,
521,0.000000,
522,0.000000,
523,0.000000,
524,0.000000,
525,0.000000,
526,0.000000,
527,0.000000,
528,0.015004,
529,0.019645,
530,0.019518,
531,0.014145,
532,0.000202,
533,0.000000,
534,0.000000,
535,0.000000,
536,0.005094,
537,0.011544,
538,0.011479,
539,0.010478,
540,0.000330,
541,0.000000,
542,0.000000,
543,0.000000,
544,0.000000,
545,0.000000,
546,0.000000,
547,0.000000,
548,0.000000,
549,0.000000,
550,0.000000,
551,0.000000,
552,0.000000,
553,0.000000,
554,0.000000,
555,0.000000,
556,0.000000,
557,0.000414,
558,0.000415,
559,0.000416,
560,0.000167,
561,0.000000,
562,0.000000,
563,0.000694,
564,0.002685,
565,0.004336,
566,0.004208,
567,0.002779,
568,0.000211,
569,0.000000,
570,0.001328,
571,0.005772,
572,0.006008,
573,0.007094,
574,0.005193,
575,0.004729,
576,0.006068,
577,0.006057,
578,0.004972,
579,0.004652,
580,0.006006,
581,0.005287,
582,0.008902,
583,0.020412,
584,0.028468,
585,0.035483,
586,0.038273,
587,0.054327,
588,0.075539,
589,0.099889,
590,0.126176,
591,0.140954,
592,0.167632,
593,0.209685,
594,0.265460,
595,0.331334,
596,0.393501,
597,0.477138,
598,0.586808,
599,0.716216,
600,0.857697,
601,1.019176,
602,1.200016,
603,1.380708,
604,1.612909,
605,1.887090,
606,2.213878,
607,2.579331,
608,3.010303,
609,3.490901,
610,3.986719,
611,4.625154,
612,5.345401,
613,6.182680,
614,7.128764,
615,8.079653,
616,9.256203,
617,10.532290,
618,11.882713,
619,13.284073,
620,14.728652,
621,16.245121,
622,17.709156,
623,19.568211,
624,21.730364,
625,24.302631,
626,27.287081,
627,30.127117,
628,33.086266,
629,35.053341,
630,35.621696,
631,34.558048,
632,32.163361,
633,28.197317,
634,23.326790,
