機型,OHSP-350
系統版本號,1.60.2
描述,OHS
測試日期,2026-02-26
測試時間,22:03:30
照度E(lx),17.76
照度E(fc),1.65
相關色溫(K),1001
黑體距離Duv,-0.00577
CIE x,0.6632
CIE y,0.3219
CIE u,0.4791
CIE v,0.3489
CIE u',0.4791
CIE v',0.5233
色差,100.00
顯色指數Ra,67.1
R1,70
R2,98
R3,81
R4,74
R5,82
R6,70
R7,47
R8,16
R9,-58
R10,99
R11,84
R12,32
R13,85
R14,92
R15,39
輻照度Ee(mW/c㎡),0.008
明暗視覺比S/P,0.218
主波長(nm),614.40
色純度(%),95.6
半寬度(nm),8.2
峰值波長(nm),632.3
中心波長(nm),633.9
質心波長(nm),624.0
紅色比(%),82.8
綠色比(%),17.1
藍色比(%),0.1
CIE1931 X,53.571
CIE1931 Y,26.005
CIE1931 Z,1.202
TLCI-2012,11
積分時間(ms),760.00
峰值信號,52842
暗信號,3773
補償電平,2948
起始波長(nm),380
終止波長(nm),780
波長(nm),[mW/m2/nm]
380,0.014653,
381,0.013766,
382,0.005165,
383,0.004230,
384,0.001572,
385,0.001652,
386,0.000311,
387,0.000246,
388,0.000000,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000000,
394,0.000083,
395,0.000273,
396,0.000817,
397,0.000766,
398,0.000872,
399,0.001342,
400,0.001174,
401,0.001151,
402,0.001847,
403,0.001905,
404,0.001891,
405,0.000700,
406,0.000000,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000000,
413,0.000000,
414,0.000000,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.000000,
421,0.000395,
422,0.000390,
423,0.000390,
424,0.000155,
425,0.000000,
426,0.000000,
427,0.000406,
428,0.000673,
429,0.003788,
430,0.003653,
431,0.004190,
432,0.002062,
433,0.001235,
434,0.000860,
435,0.000164,
436,0.000164,
437,0.000163,
438,0.000033,
439,0.000000,
440,0.001050,
441,0.008993,
442,0.010970,
443,0.015847,
444,0.012170,
445,0.011246,
446,0.013687,
447,0.015389,
448,0.034493,
449,0.050094,
450,0.060086,
451,0.059895,
452,0.051928,
453,0.052266,
454,0.049315,
455,0.040481,
456,0.028904,
457,0.019108,
458,0.012622,
459,0.009440,
460,0.006663,
461,0.008110,
462,0.006802,
463,0.006439,
464,0.004395,
465,0.003987,
466,0.003418,
467,0.001883,
468,0.000293,
469,0.001634,
470,0.001630,
471,0.001768,
472,0.000270,
473,0.000143,
474,0.000029,
475,0.001117,
476,0.004974,
477,0.006715,
478,0.006561,
479,0.003744,
480,0.000528,
481,0.000000,
482,0.000000,
483,0.000366,
484,0.000845,
485,0.004622,
486,0.006420,
487,0.006986,
488,0.003962,
489,0.001592,
490,0.000554,
491,0.000743,
492,0.001695,
493,0.001999,
494,0.001577,
495,0.001169,
496,0.001917,
497,0.002749,
498,0.002809,
499,0.001798,
500,0.000266,
501,0.000693,
502,0.001727,
503,0.001723,
