機型,OHSP-350
系統版本號,1.60.2
描述,OHS
測試日期,2026-02-26
測試時間,21:51:59
照度E(lx),79.61
照度E(fc),7.40
相關色溫(K),1001
黑體距離Duv,-0.00779
CIE x,0.6953
CIE y,0.3037
CIE u,0.5293
CIE v,0.3468
CIE u',0.5293
CIE v',0.5203
色差,100.00
顯色指數Ra,7.9
R1,0
R2,76
R3,27
R4,-32
R5,-2
R6,92
R7,-7
R8,-91
R9,-100
R10,69
R11,-17
R12,79
R13,25
R14,57
R15,-47
輻照度Ee(mW/c㎡),0.038
明暗視覺比S/P,0.051
主波長(nm),622.50
色純度(%),99.7
半寬度(nm),13.2
峰值波長(nm),629.8
中心波長(nm),628.4
質心波長(nm),626.4
紅色比(%),98.1
綠色比(%),1.9
藍色比(%),0.0
CIE1931 X,266.815
CIE1931 Y,116.565
CIE1931 Z,0.386
TLCI-2012,3
積分時間(ms),210.00
峰值信號,53418
暗信號,2360
補償電平,2952
起始波長(nm),380
終止波長(nm),780
波長(nm),[mW/m2/nm]
380,0.001109,
381,0.000822,
382,0.000000,
383,0.000000,
384,0.000000,
385,0.000000,
386,0.000000,
387,0.000000,
388,0.000000,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000000,
394,0.000000,
395,0.000000,
396,0.000000,
397,0.000000,
398,0.000000,
399,0.000000,
400,0.000000,
401,0.000000,
402,0.000000,
403,0.000000,
404,0.000000,
405,0.000000,
406,0.000000,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000000,
413,0.000000,
414,0.000000,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.000000,
421,0.000000,
422,0.000000,
423,0.000000,
424,0.000000,
425,0.000000,
426,0.000000,
427,0.000000,
428,0.000000,
429,0.000000,
430,0.000000,
431,0.000000,
432,0.000000,
433,0.000000,
434,0.000000,
435,0.000000,
436,0.000000,
437,0.000000,
438,0.000000,
439,0.000000,
440,0.000000,
441,0.000000,
442,0.000000,
443,0.000000,
444,0.000000,
445,0.000000,
446,0.000000,
447,0.000000,
448,0.018222,
449,0.048296,
450,0.049914,
451,0.043528,
452,0.009200,
453,0.007454,
454,0.006433,
455,0.004038,
456,0.001518,
457,0.000439,
458,0.000000,
459,0.000000,
460,0.000000,
461,0.000000,
462,0.000000,
463,0.000000,
464,0.000000,
465,0.000000,
466,0.000000,
467,0.000000,
468,0.000000,
469,0.000000,
470,0.000000,
471,0.000000,
472,0.000000,
473,0.000000,
474,0.000000,
475,0.000000,
476,0.000000,
477,0.000000,
478,0.000000,
479,0.000000,
480,0.000000,
481,0.000000,
482,0.000000,
483,0.000000,
484,0.000000,
485,0.000000,
486,0.000000,
487,0.000000,
488,0.000000,
489,0.000000,
490,0.000000,
491,0.000000,
492,0.000000,
493,0.000000,
494,0.000000,
495,0.000000,
496,0.000000,
497,0.000000,
498,0.000000,
499,0.000000,
500,0.000000,
501,0.000000,
502,0.000000,
503,0.000000,
504,0.000000,
505,0.000000,
506,0.000000,
507,0.000000,
508,0.000000,
509,0.000000,
510,0.000000,
511,0.000000,
512,0.001823,
513,0.002871,
514,0.002877,
515,0.001993,
516,0.000000,
517,0.000000,
518,0.000000,
519,0.000000,
520,0.000000,
521,0.000000,
522,0.000000,
523,0.000000,
524,0.000000,
525,0.000000,
526,0.000000,
527,0.000000,
528,0.016364,
529,0.022095,
530,0.022632,
531,0.017516,
532,0.002470,
533,0.001816,
534,0.001509,
535,0.000941,
536,0.008133,
537,0.019716,
538,0.019332,
539,0.017449,
540,0.002083,
541,0.003437,
542,0.003485,
543,0.003477,
544,0.001093,
545,0.000000,
546,0.000000,
547,0.000000,
548,0.000000,
549,0.000187,
550,0.000313,
551,0.000314,
552,0.000237,
553,0.000000,
554,0.000000,
555,0.000527,
556,0.001332,
557,0.006092,
558,0.007349,
559,0.006901,
560,0.003801,
561,0.000917,
562,0.001117,
563,0.001615,
564,0.005968,
565,0.011122,
566,0.011304,
567,0.008521,
568,0.002924,
569,0.004296,
570,0.008534,
571,0.019101,
572,0.017767,
573,0.016992,
574,0.011888,
575,0.008770,
576,0.011089,
577,0.011357,
578,0.008332,
579,0.007935,
580,0.009733,
581,0.008876,
582,0.014902,
583,0.028158,
584,0.036240,
585,0.041735,
586,0.040489,
587,0.050017,
588,0.067407,
589,0.085042,
590,0.104653,
591,0.112787,
592,0.125009,
593,0.152224,
594,0.185685,
595,0.229079,
596,0.268481,
597,0.320493,
598,0.390191,
599,0.473073,
600,0.564189,
601,0.674393,
602,0.790179,
603,0.905780,
604,1.051873,
605,1.232925,
606,1.450889,
607,1.691690,
608,1.973679,
609,2.277003,
610,2.596323,
611,3.002616,
612,3.474763,
613,4.032952,
614,4.661879,
615,5.289350,
616,6.057811,
617,6.892423,
618,7.772562,
619,8.682352,
620,9.630773,
621,10.624209,
622,11.591856,
623,12.816102,
624,14.247788,
625,15.971741,
626,17.972473,
627,19.899790,
628,21.849043,
629,23.075504,
630,23.261669,
631,22.398327,
632,20.699753,
633,18.032766,
634,14.797416,
635,11.627460,
636,8.920840,
637,7.018017,
638,5.387673,
639,4.161487,
640,3.236402,
641,2.537596,
642,2.056314,
643,1.617394,
644,1.256452,
645,0.945262,
646,0.714349,
647,0.557358,
648,0.421806,
649,0.317935,
650,0.245428,
651,0.198252,
652,0.169001,
653,0.131390,
654,0.097147,
655,0.077505,
656,0.069714,
657,0.063655,
658,0.058879,
659,0.048177,
660,0.044538,
661,0.037534,
662,0.026696,
663,0.028284,
664,0.027200,
665,0.023793,
666,0.011842,
667,0.002095,
668,0.000000,
669,0.000000,
670,0.000000,
671,0.000940,
672,0.000945,
673,0.000952,
674,0.000383,
675,0.000000,
676,0.000000,
677,0.000000,
678,0.000000,
679,0.000000,
680,0.000000,
681,0.000000,
682,0.000000,
683,0.000000,
684,0.000000,
685,0.000000,
686,0.000000,
687,0.000000,
688,0.000000,
689,0.000000,
690,0.000000,
691,0.000000,
692,0.000000,
693,0.000000,
694,0.000000,
695,0.000000,
696,0.000000,
697,0.000000,
698,0.000000,
699,0.000000,
700,0.000000,
701,0.000000,
702,0.000000,
703,0.000000,
704,0.000000,
705,0.000000,
706,0.000000,
707,0.000000,
708,0.000000,
709,0.000000,
710,0.000000,
711,0.000000,
712,0.000000,
713,0.000000,
714,0.000000,
715,0.000000,
716,0.000000,
717,0.000000,
718,0.000000,
719,0.000000,
720,0.000000,
721,0.000000,
722,0.000000,
723,0.000000,
724,0.000000,
725,0.000000,
726,0.000000,
727,0.000000,
728,0.000000,
729,0.000000,
730,0.000000,
731,0.000000,
732,0.000000,
733,0.000000,
734,0.000000,
735,0.000000,
736,0.000000,
737,0.000000,
738,0.000000,
739,0.000000,
740,0.000000,
741,0.000000,
742,0.000000,
743,0.000000,
744,0.000000,
745,0.000000,
746,0.000000,
747,0.000000,
748,0.000000,
749,0.000000,
750,0.000000,
751,0.000000,
752,0.003251,
753,0.003290,
754,0.003331,
755,0.001351,
756,0.000000,
757,0.000000,
758,0.000000,
759,0.000000,
760,0.000000,
761,0.000000,
762,0.000000,
763,0.000000,
764,0.000000,
765,0.000000,
766,0.000000,
767,0.000000,
768,0.000000,
769,0.000000,
770,0.025108,
771,0.029640,
772,0.029523,
773,0.016419,
774,0.000000,
775,0.000000,
776,0.000000,
777,0.000000,
778,0.000000,
779,0.000000,
780,0.000000,
