機型,OHSP-350
系統版本號,1.60.2
描述,OHS
測試日期,2026-02-26
測試時間,22:10:01
照度E(lx),5.16
照度E(fc),0.48
相關色溫(K),1495
黑體距離Duv,-0.02172
CIE x,0.5350
CIE y,0.3374
CIE u,0.3579
CIE v,0.3386
CIE u',0.3579
CIE v',0.5079
色差,55.53
顯色指數Ra,69.3
R1,72
R2,72
R3,87
R4,68
R5,58
R6,35
R7,75
R8,87
R9,84
R10,48
R11,35
R12,-26
R13,64
R14,96
R15,90
輻照度Ee(mW/c㎡),0.002
明暗視覺比S/P,0.944
主波長(nm),608.20
色純度(%),61.8
半寬度(nm),8.6
峰值波長(nm),632.3
中心波長(nm),633.9
質心波長(nm),602.0
紅色比(%),53.4
綠色比(%),44.8
藍色比(%),1.8
CIE1931 X,11.983
CIE1931 Y,7.558
CIE1931 Z,2.857
TLCI-2012,26
積分時間(ms),5500.00
峰值信號,56951
暗信號,2518
補償電平,2880
起始波長(nm),380
終止波長(nm),780
波長(nm),[mW/m2/nm]
380,0.007090,
381,0.003710,
382,0.000228,
383,0.000080,
384,0.000079,
385,0.000060,
386,0.000000,
387,0.000000,
388,0.000112,
389,0.000187,
390,0.000186,
391,0.000160,
392,0.002351,
393,0.004307,
394,0.006182,
395,0.004694,
396,0.002764,
397,0.000487,
398,0.000524,
399,0.001774,
400,0.002182,
401,0.002020,
402,0.001503,
403,0.001614,
404,0.001667,
405,0.001267,
406,0.000446,
407,0.003297,
408,0.005976,
409,0.006917,
410,0.004749,
411,0.001393,
412,0.000236,
413,0.000037,
414,0.000092,
415,0.000136,
416,0.000221,
417,0.000403,
418,0.000576,
419,0.002584,
420,0.006031,
421,0.007702,
422,0.006509,
423,0.003317,
424,0.000656,
425,0.000910,
426,0.002578,
427,0.002990,
428,0.005270,
429,0.005468,
430,0.004572,
431,0.002922,
432,0.000350,
433,0.001981,
434,0.003256,
435,0.005168,
436,0.005440,
437,0.006294,
438,0.008384,
439,0.014507,
440,0.021031,
441,0.025787,
442,0.026985,
443,0.027579,
444,0.030812,
445,0.035230,
446,0.042346,
447,0.049283,
448,0.058914,
449,0.066505,
450,0.071144,
451,0.076582,
452,0.077507,
453,0.078534,
454,0.073148,
455,0.065599,
456,0.058785,
457,0.056777,
458,0.055681,
459,0.052527,
460,0.045641,
461,0.039757,
462,0.036887,
463,0.034135,
464,0.029885,
465,0.026180,
466,0.024400,
467,0.024242,
468,0.023890,
469,0.023821,
470,0.022606,
471,0.021577,
472,0.017271,
473,0.014164,
474,0.011459,
475,0.011872,
476,0.010994,
477,0.009431,
478,0.008273,
479,0.007218,
480,0.006876,
481,0.005987,
482,0.005173,
483,0.008624,
484,0.012012,
485,0.016198,
486,0.019584,
487,0.018094,
488,0.014654,
489,0.009232,
490,0.007463,
491,0.008092,
492,0.010652,
493,0.012685,
494,0.014226,
495,0.017362,
496,0.017207,
497,0.016714,
498,0.015316,
499,0.013639,
500,0.015418,
501,0.017622,
502,0.018755,
503,0.019470,
504,0.020132,
505,0.023048,
506,0.025278,
507,0.025157,
508,0.024538,
509,0.024651,
510,0.026725,
511,0.027777,
512,0.029101,
513,0.030999,
514,0.033041,
515,0.032448,
516,0.030474,
517,0.031367,
518,0.034628,
519,0.037439,
520,0.037491,
521,0.034949,
522,0.033890,
523,0.034744,
524,0.035590,
525,0.036495,
526,0.036759,
527,0.038693,
528,0.042286,
529,0.042326,
530,0.042329,
531,0.039166,
532,0.038440,
533,0.038349,
534,0.037295,
535,0.035115,
536,0.037920,
537,0.040606,
538,0.041342,
539,0.039604,
540,0.038335,
541,0.039633,
542,0.040875,
543,0.040474,
544,0.038465,
545,0.036859,
546,0.035217,
547,0.038339,
548,0.040399,
549,0.040984,
550,0.039144,
551,0.035928,
552,0.034367,
553,0.034358,
554,0.035302,
555,0.035546,
556,0.035929,
557,0.039021,
558,0.041913,
559,0.042871,
560,0.041256,
561,0.037373,
562,0.036186,
563,0.038270,
564,0.040597,
565,0.042761,
566,0.038651,
567,0.035058,
568,0.033413,
569,0.033839,
570,0.034885,
571,0.033890,
572,0.034466,
573,0.035911,
574,0.036788,
575,0.036751,
576,0.037837,
577,0.037212,
578,0.037489,
579,0.038051,
580,0.039696,
581,0.042389,
582,0.044763,
583,0.048142,
584,0.049631,
585,0.051201,
586,0.054504,
587,0.057723,
588,0.062918,
589,0.067648,
590,0.073876,
591,0.079653,
592,0.083816,
593,0.088564,
594,0.087339,
595,0.085710,
596,0.083697,
597,0.085838,
598,0.093333,
599,0.095570,
600,0.094630,
601,0.091299,
602,0.089235,
603,0.091106,
604,0.093050,
605,0.093868,
606,0.097250,
607,0.109592,
608,0.141361,
609,0.179553,
610,0.201385,
611,0.208913,
612,0.231810,
613,0.300858,
614,0.382693,
615,0.409482,
616,0.360739,
617,0.268542,
618,0.197026,
619,0.162828,
620,0.153361,
621,0.146696,
622,0.142952,
623,0.140147,
624,0.142951,
625,0.149656,
626,0.159004,
627,0.167409,
628,0.193722,
629,0.286843,
630,0.490658,
631,0.711312,
632,0.842191,
633,0.821155,
634,0.721175,
635,0.671602,
636,0.649177,
637,0.593573,
638,0.442683,
639,0.262882,
640,0.145086,
641,0.093827,
642,0.076712,
643,0.067273,
644,0.063406,
645,0.065970,
646,0.084057,
647,0.119079,
648,0.164027,
649,0.186116,
650,0.168124,
651,0.126070,
652,0.095046,
653,0.075206,
654,0.063946,
655,0.059645,
656,0.054249,
657,0.049544,
658,0.045075,
659,0.038198,
660,0.037784,
661,0.036201,
662,0.034055,
663,0.036733,
664,0.038901,
665,0.037471,
666,0.030229,
667,0.018830,
668,0.017069,
669,0.018862,
670,0.026788,
671,0.030849,
672,0.029418,
673,0.025574,
674,0.018642,
675,0.019675,
676,0.020199,
677,0.020295,
678,0.016866,
679,0.011747,
680,0.007933,
681,0.005758,
682,0.005629,
683,0.010552,
684,0.014931,
685,0.015141,
686,0.012285,
687,0.011732,
688,0.009345,
689,0.010541,
690,0.008575,
691,0.006714,
692,0.010583,
693,0.011543,
694,0.010458,
695,0.008809,
696,0.004661,
697,0.004813,
698,0.006217,
699,0.006470,
700,0.005326,
701,0.004452,
702,0.002920,
703,0.001877,
704,0.001499,
705,0.000530,
706,0.006248,
707,0.009803,
708,0.012149,
709,0.014769,
710,0.010583,
711,0.009081,
712,0.004990,
713,0.002188,
714,0.002853,
715,0.002998,
716,0.003066,
717,0.001602,
718,0.003509,
719,0.004572,
720,0.006044,
721,0.007161,
722,0.004782,
723,0.003661,
724,0.001702,
725,0.002075,
726,0.003055,
727,0.003946,
728,0.003515,
729,0.003286,
730,0.003241,
731,0.003093,
732,0.003520,
733,0.002044,
734,0.002357,
735,0.001519,
736,0.001274,
737,0.001350,
738,0.000837,
739,0.000733,
740,0.001146,
741,0.002704,
742,0.002937,
743,0.002695,
744,0.001538,
745,0.002112,
746,0.003011,
747,0.003494,
748,0.002350,
749,0.001097,
750,0.002340,
751,0.002469,
752,0.002939,
753,0.003676,
754,0.004153,
755,0.006856,
756,0.007989,
757,0.013579,
758,0.013158,
759,0.010635,
760,0.005677,
761,0.001112,
762,0.002603,
763,0.003025,
764,0.005277,
765,0.003371,
766,0.002937,
767,0.001340,
768,0.001044,
769,0.003784,
770,0.007216,
771,0.006610,
772,0.006000,
773,0.001741,
774,0.009515,
775,0.012853,
776,0.012924,
777,0.008854,
778,0.000512,
779,0.001406,
780,0.007464,
