機型,OHSP-350
系統版本號,1.60.2
描述,OHS
測試日期,2026-02-26
測試時間,22:25:50
照度E(lx),1996.01
照度E(fc),185.43
相關色溫(K),3295
黑體距離Duv,0.03337
CIE x,0.4655
CIE y,0.5109
CIE u,0.2271
CIE v,0.3738
CIE u',0.2271
CIE v',0.5608
色差,44.59
顯色指數Ra,27.9
R1,35
R2,55
R3,20
R4,21
R5,55
R6,40
R7,15
R8,-17
R9,-77
R10,14
R11,17
R12,11
R13,43
R14,53
R15,36
輻照度Ee(mW/c㎡),0.541
明暗視覺比S/P,1.559
主波長(nm),574.50
色純度(%),93.2
半寬度(nm),13.4
峰值波長(nm),629.8
中心波長(nm),628.3
質心波長(nm),584.3
紅色比(%),31.3
綠色比(%),68.4
藍色比(%),0.3
CIE1931 X,2662.654
CIE1931 Y,2922.415
CIE1931 Z,134.919
TLCI-2012,4
積分時間(ms),23.00
峰值信號,45792
暗信號,2597
補償電平,2964
起始波長(nm),380
終止波長(nm),780
波長(nm),[mW/m2/nm]
380,0.000000,
381,0.000000,
382,0.000000,
383,0.000000,
384,0.000000,
385,0.000000,
386,0.000000,
387,0.000000,
388,0.000000,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000000,
394,0.000000,
395,0.000000,
396,0.000000,
397,0.000000,
398,0.000000,
399,0.000000,
400,0.000000,
401,0.000000,
402,0.000000,
403,0.000000,
404,0.000000,
405,0.000000,
406,0.000000,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000000,
413,0.000000,
414,0.000000,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.000000,
421,0.000000,
422,0.000000,
423,0.000000,
424,0.000000,
425,0.000000,
426,0.000000,
427,0.000000,
428,0.000000,
429,0.000000,
430,0.000000,
431,0.000000,
432,0.000000,
433,0.000000,
434,0.000000,
435,0.000000,
436,0.000000,
437,0.000000,
438,0.000000,
439,0.000000,
440,0.000000,
441,0.000000,
442,0.000000,
443,0.000000,
444,0.000000,
445,0.000000,
446,0.000000,
447,0.000000,
448,0.000000,
449,0.000000,
450,0.000000,
451,0.000000,
452,0.000000,
453,0.000000,
454,0.000000,
455,0.000000,
456,0.000000,
457,0.000000,
458,0.000000,
459,0.000000,
460,0.000000,
461,0.000000,
462,0.000000,
463,0.000000,
464,0.000000,
465,0.000000,
466,0.000000,
467,0.000000,
468,0.000000,
469,0.000000,
470,0.000000,
471,0.000000,
472,0.000000,
473,0.000000,
474,0.000000,
475,0.000000,
476,0.000806,
477,0.002139,
478,0.006238,
479,0.013193,
480,0.038022,
481,0.083063,
482,0.150336,
483,0.218623,
484,0.291519,
485,0.384825,
486,0.488887,
487,0.610570,
488,0.723992,
489,0.870367,
490,1.044219,
491,1.230079,
492,1.444963,
493,1.687478,
494,1.982281,
495,2.318933,
496,2.680254,
497,3.080667,
498,3.548168,
499,4.083903,
500,4.732110,
501,5.440475,
502,6.266829,
503,7.209149,
504,8.291164,
505,9.531161,
506,10.772358,
507,12.332758,
508,14.115231,
509,16.169527,
510,18.487247,
511,21.104483,
512,23.995623,
513,27.265257,
514,30.870131,
515,34.776302,
516,39.014336,
517,43.416744,
518,47.993504,
519,52.532356,
520,57.063278,
521,61.397186,
522,65.438866,
523,68.979713,
524,72.001907,
525,74.333344,
526,75.824982,
527,76.357925,
528,75.897400,
529,75.018295,
530,73.319122,
531,71.124649,
532,68.447487,
533,65.346748,
534,61.966858,
535,58.423122,
536,54.739101,
537,51.115696,
538,47.861763,
539,44.874081,
540,42.211369,
541,39.601105,
542,37.333714,
543,35.260647,
544,33.637188,
545,31.877096,
546,30.186432,
547,28.595467,
548,27.055281,
549,25.562307,
550,24.103920,
551,22.661806,
552,21.206884,
553,19.773584,
554,18.381266,
555,17.212547,
556,15.923826,
557,14.688885,
558,13.539284,
559,12.448291,
560,11.432846,
561,10.495797,
562,9.638126,
563,8.875091,
564,8.192638,
565,7.588855,
566,7.116229,
567,6.610169,
568,6.137066,
569,5.706241,
570,5.304094,
571,4.951221,
572,4.614696,
573,4.297556,
574,4.013107,
575,3.778911,
576,3.536657,
577,3.313004,
578,3.087857,
579,2.889916,
580,2.719078,
581,2.558970,
582,2.431899,
583,2.304915,
584,2.196527,
585,2.115761,
586,2.052664,
587,2.018854,
588,2.022408,
589,2.052874,
590,2.121165,
591,2.193353,
592,2.322272,
593,2.524822,
594,2.818014,
595,3.188069,
596,3.580885,
597,4.111130,
598,4.720028,
599,5.424638,
600,6.201011,
601,7.091277,
602,8.115957,
603,9.177526,
604,10.502484,
605,11.983014,
606,13.653394,
607,15.522424,
608,17.713923,
609,20.215710,
610,22.715473,
611,25.902746,
612,29.491699,
613,33.683296,
614,38.501976,
615,43.317810,
616,49.211781,
617,55.525471,
618,62.215424,
619,69.232628,
620,76.570534,
621,84.326050,
622,91.976509,
623,101.765663,
624,113.220284,
625,126.651344,
626,141.783173,
627,155.764481,
628,169.647446,
629,178.787521,
630,179.523026,
631,171.231415,
632,156.463287,
633,134.225876,
634,109.972252,
