機型,OHSP-350
系統版本號,1.60.2
描述,OHS
測試日期,2026-02-26
測試時間,22:17:17
照度E(lx),56.05
照度E(fc),5.21
相關色溫(K),3829
黑體距離Duv,0.04144
CIE x,0.4294
CIE y,0.5160
CIE u,0.2061
CIE v,0.3715
CIE u',0.2061
CIE v',0.5573
色差,53.68
顯色指數Ra,69.5
R1,88
R2,75
R3,46
R4,85
R5,88
R6,63
R7,61
R8,50
R9,29
R10,34
R11,85
R12,23
R13,84
R14,67
R15,83
輻照度Ee(mW/c㎡),0.014
明暗視覺比S/P,1.408
主波長(nm),570.50
色純度(%),83.9
半寬度(nm),8.2
峰值波長(nm),632.3
中心波長(nm),633.9
質心波長(nm),579.6
紅色比(%),21.9
綠色比(%),77.7
藍色比(%),0.4
CIE1931 X,68.300
CIE1931 Y,82.066
CIE1931 Z,8.678
TLCI-2012,39
積分時間(ms),880.00
峰值信號,52204
暗信號,2632
補償電平,2928
起始波長(nm),380
終止波長(nm),780
波長(nm),[mW/m2/nm]
380,0.012051,
381,0.012372,
382,0.005656,
383,0.005445,
384,0.002016,
385,0.001919,
386,0.000000,
387,0.000000,
388,0.000000,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000562,
394,0.003009,
395,0.003179,
396,0.002965,
397,0.000609,
398,0.000198,
399,0.001696,
400,0.001645,
401,0.001613,
402,0.002070,
403,0.002040,
404,0.002025,
405,0.000738,
406,0.000000,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000000,
413,0.000000,
414,0.000000,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.000517,
421,0.001482,
422,0.001465,
423,0.001148,
424,0.000332,
425,0.000000,
426,0.000257,
427,0.001901,
428,0.004444,
429,0.007994,
430,0.007060,
431,0.005522,
432,0.001989,
433,0.001293,
434,0.002660,
435,0.007872,
436,0.011622,
437,0.016343,
438,0.019877,
439,0.029618,
440,0.041752,
441,0.062463,
442,0.076399,
443,0.095019,
444,0.102573,
445,0.113251,
446,0.128663,
447,0.142885,
448,0.172863,
449,0.192896,
450,0.206420,
451,0.209234,
452,0.202443,
453,0.197426,
454,0.181854,
455,0.159850,
456,0.134661,
457,0.114349,
458,0.095591,
459,0.084193,
460,0.074715,
461,0.073124,
462,0.066913,
463,0.061463,
464,0.052328,
465,0.047676,
466,0.043082,
467,0.032823,
468,0.023113,
469,0.022025,
470,0.019263,
471,0.022892,
472,0.013042,
473,0.010433,
474,0.004446,
475,0.007499,
476,0.019087,
