機型,OHSP-350
系統版本號,1.60.2
描述,OHS
測試日期,2026-02-26
測試時間,22:19:53
照度E(lx),15.13
照度E(fc),1.41
相關色溫(K),8043
黑體距離Duv,-0.15440
CIE x,0.3455
CIE y,0.1577
CIE u,0.3289
CIE v,0.2252
CIE u',0.3289
CIE v',0.3378
色差,96.26
顯色指數Ra,-72.6
R1,-100
R2,-81
R3,19
R4,-68
R5,-100
R6,-100
R7,49
R8,-100
R9,-100
R10,-100
R11,-100
R12,-100
R13,-100
R14,67
R15,-100
輻照度Ee(mW/c㎡),0.010
明暗視覺比S/P,2.870
主波長(nm),551.00
色純度(%),49.8
半寬度(nm),8.2
峰值波長(nm),632.3
中心波長(nm),633.9
質心波長(nm),549.7
紅色比(%),64.4
綠色比(%),25.9
藍色比(%),9.7
CIE1931 X,48.509
CIE1931 Y,22.145
CIE1931 Z,69.758
TLCI-2012,19
積分時間(ms),1000.00
峰值信號,49563
暗信號,2850
補償電平,2928
起始波長(nm),380
終止波長(nm),780
波長(nm),[mW/m2/nm]
380,0.016038,
381,0.016686,
382,0.008501,
383,0.007096,
384,0.002001,
385,0.002351,
386,0.000768,
387,0.000648,
388,0.000083,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000344,
394,0.001937,
395,0.002924,
396,0.004070,
397,0.002622,
398,0.002152,
399,0.002786,
400,0.002479,
401,0.002374,
402,0.002620,
403,0.002823,
404,0.002873,
405,0.001238,
406,0.000172,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000000,
413,0.000000,
414,0.000000,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.001914,
421,0.003271,
422,0.003233,
423,0.002033,
424,0.000619,
425,0.000397,
426,0.000846,
427,0.003747,
428,0.010789,
429,0.021450,
430,0.027099,
431,0.037218,
432,0.050565,
433,0.078768,
434,0.118422,
435,0.165851,
436,0.227375,
437,0.290800,
438,0.365100,
439,0.458749,
440,0.570088,
441,0.697067,
442,0.835978,
443,0.987526,
444,1.150110,
445,1.328768,
446,1.510266,
447,1.692770,
448,1.855888,
449,1.981356,
450,2.071226,
451,2.107513,
452,2.090788,
453,2.003861,
454,1.865016,
455,1.699663,
456,1.524582,
457,1.357154,
458,1.205213,
459,1.076450,
460,0.974261,
461,0.896292,
462,0.831568,
463,0.777332,
464,0.724229,
465,0.676585,
466,0.626668,
467,0.567942,
468,0.507856,
469,0.453140,
470,0.399971,
471,0.355629,
472,0.305923,
473,0.265459,
474,0.222302,
475,0.197479,
476,0.185451,
477,0.171621,
478,0.158169,
479,0.137869,
480,0.115283,
481,0.097322,
482,0.081714,
483,0.073029,
484,0.067757,
485,0.071317,
486,0.072556,
487,0.067458,
488,0.047661,
489,0.035051,
490,0.033778,
491,0.034698,
492,0.036987,
493,0.032442,
