機型,OHSP-350
系統版本號,1.60.2
描述,OHS
測試日期,2026-02-26
測試時間,22:29:01
照度E(lx),811.87
照度E(fc),75.42
相關色溫(K),1787
黑體距離Duv,-0.12387
CIE x,0.3563
CIE y,0.1710
CIE u,0.3284
CIE v,0.2364
CIE u',0.3284
CIE v',0.3546
色差,93.73
顯色指數Ra,-113.3
R1,-95
R2,-100
R3,-100
R4,71
R5,-100
R6,-100
R7,-32
R8,47
R9,-100
R10,-100
R11,34
R12,-100
R13,-100
R14,-94
R15,-73
輻照度Ee(mW/c㎡),0.564
明暗視覺比S/P,4.006
主波長(nm),546.90
色純度(%),42.8
半寬度(nm),13.6
峰值波長(nm),629.8
中心波長(nm),628.7
質心波長(nm),551.9
紅色比(%),72.5
綠色比(%),3.7
藍色比(%),23.8
CIE1931 X,2476.679
CIE1931 Y,1188.681
CIE1931 Z,3286.163
TLCI-2012,1
積分時間(ms),30.00
峰值信號,56728
暗信號,2611
補償電平,2964
起始波長(nm),380
終止波長(nm),780
波長(nm),[mW/m2/nm]
380,0.000000,
381,0.000000,
382,0.000000,
383,0.000000,
384,0.000000,
385,0.000000,
386,0.000000,
387,0.000000,
388,0.000000,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000000,
394,0.000000,
395,0.000000,
396,0.000000,
397,0.000000,
398,0.000000,
399,0.000000,
400,0.000000,
401,0.000000,
402,0.000000,
403,0.000000,
404,0.000000,
405,0.000000,
406,0.000000,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000000,
413,0.000000,
414,0.000000,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.000000,
421,0.000000,
422,0.000000,
423,0.000000,
424,0.000000,
425,0.000000,
426,0.000000,
427,0.000000,
428,0.000000,
429,0.000000,
430,0.000000,
431,0.010486,
432,0.049067,
433,0.127651,
434,0.255100,
435,0.412461,
436,0.613081,
437,0.820792,
438,1.065559,
439,1.360045,
440,1.714737,
441,2.116036,
442,2.585380,
443,3.120320,
444,3.774079,
445,4.554263,
446,5.478972,
447,6.535488,
448,7.716441,
449,9.046373,
450,10.606178,
451,12.624454,
452,14.784993,
453,17.144464,
454,19.784603,
455,22.832533,
456,26.322277,
457,30.271917,
458,34.853039,
459,40.132839,
460,46.247662,
461,53.172810,
462,61.139721,
463,70.204308,
464,80.219292,
465,90.685249,
466,101.226166,
467,111.335091,
468,119.974754,
469,125.641212,
470,128.577057,
471,127.927544,
472,124.862724,
473,118.517654,
474,108.821732,
475,98.484329,
476,87.636436,
477,77.541481,
478,68.702995,
479,61.389416,
480,55.578835,
481,50.766388,
482,46.909012,
483,43.686287,
484,40.931992,
485,38.401558,
486,35.850239,
487,33.238605,
488,30.572561,
489,27.751890,
490,24.927938,
491,22.158417,
492,19.522018,
493,17.096573,
494,14.927359,
495,13.011343,
496,11.387192,
497,10.026826,
498,8.920460,
499,7.987838,
500,7.214617,
501,6.541924,
502,5.967640,
503,5.442561,
504,4.955487,
505,4.475273,
506,4.085662,
507,3.653307,
508,3.248649,
509,2.859584,
510,2.495885,
511,2.174424,
512,1.902995,
513,1.667729,
514,1.459986,
515,1.260056,
516,1.085733,
517,0.941072,
518,0.816270,
519,0.718819,
520,0.635546,
521,0.573644,
522,0.516366,
523,0.446104,
524,0.381043,
525,0.313565,
526,0.263640,
527,0.226629,
528,0.207521,
529,0.182837,
530,0.151638,
531,0.110002,
532,0.070716,
533,0.040664,
534,0.022457,
535,0.004719,
536,0.005902,
537,0.010533,
538,0.009066,
539,0.007737,
540,0.000130,
541,0.000000,
542,0.000000,
543,0.000000,
544,0.000000,
545,0.000000,
546,0.000000,
547,0.000000,
548,0.000000,
549,0.000000,
550,0.000000,
551,0.000000,
552,0.000000,
553,0.000000,
554,0.000000,
555,0.000000,
556,0.000000,
557,0.000000,
558,0.000000,
559,0.000000,
560,0.000000,
561,0.000000,
562,0.000000,
563,0.000000,
564,0.000000,
565,0.000000,
566,0.000000,
567,0.000000,
568,0.000000,
569,0.000000,
570,0.000000,
571,0.000000,
572,0.000000,
573,0.000000,
574,0.000000,
575,0.000000,
576,0.001041,
577,0.006958,
578,0.018566,
579,0.027418,
580,0.047645,
581,0.060629,
582,0.088069,
583,0.139892,
584,0.195505,
585,0.261427,
586,0.324091,
587,0.404159,
588,0.494598,
589,0.598866,
590,0.715423,
591,0.841973,
592,1.023069,
593,1.275132,
594,1.591334,
595,1.983566,
596,2.392354,
597,2.925608,
598,3.547074,
599,4.252765,
600,5.044772,
601,5.945857,
602,6.961550,
603,7.983867,
604,9.271802,
605,10.723765,
606,12.387482,
607,14.251189,
608,16.396933,
609,18.784655,
610,21.166191,
611,24.175570,
612,27.570272,
613,31.508474,
614,35.987392,
615,40.488388,
616,46.036636,
617,52.095390,
618,58.593761,
619,65.424026,
620,72.486832,
621,79.852531,
622,86.908936,
623,95.834389,
624,106.140678,
625,118.227943,
626,132.459625,
627,146.602066,
628,161.220215,
629,171.389069,
630,173.046188,
631,168.176727,
632,157.906448,
633,140.797745,
