機型,OHSP-350
系統版本號,1.60.2
描述,OHS
測試日期,2026-02-26
測試時間,21:52:55
照度E(lx),31.70
照度E(fc),2.94
相關色溫(K),1001
黑體距離Duv,-0.00792
CIE x,0.6895
CIE y,0.3055
CIE u,0.5217
CIE v,0.3467
CIE u',0.5217
CIE v',0.5201
色差,100.00
顯色指數Ra,21.3
R1,16
R2,82
R3,38
R4,-8
R5,17
R6,91
R7,3
R8,-71
R9,-100
R10,76
R11,11
R12,71
R13,39
R14,66
R15,-29
輻照度Ee(mW/c㎡),0.015
明暗視覺比S/P,0.081
主波長(nm),621.70
色純度(%),98.5
半寬度(nm),12.7
峰值波長(nm),629.8
中心波長(nm),628.4
質心波長(nm),625.5
紅色比(%),96.1
綠色比(%),3.8
藍色比(%),0.1
CIE1931 X,104.742
CIE1931 Y,46.409
CIE1931 Z,0.750
TLCI-2012,11
積分時間(ms),520.00
峰值信號,53062
暗信號,3173
補償電平,2952
起始波長(nm),380
終止波長(nm),780
波長(nm),[mW/m2/nm]
380,0.009209,
381,0.008293,
382,0.002541,
383,0.002339,
384,0.000644,
385,0.000613,
386,0.000000,
387,0.000000,
388,0.000000,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000000,
394,0.000000,
395,0.000032,
396,0.000160,
397,0.000160,
398,0.000252,
399,0.000397,
400,0.000355,
401,0.000348,
402,0.001948,
403,0.002078,
404,0.002063,
405,0.000733,
406,0.000000,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000000,
413,0.000000,
414,0.000000,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.000000,
421,0.000218,
422,0.000216,
423,0.000215,
424,0.000086,
425,0.000000,
426,0.000000,
427,0.000000,
428,0.000058,
429,0.002113,
430,0.002121,
431,0.002244,
432,0.000688,
433,0.000205,
434,0.000153,
435,0.000009,
436,0.000009,
437,0.000009,
438,0.000002,
439,0.000000,
440,0.000648,
441,0.007258,
442,0.008799,
443,0.011936,
444,0.008476,
445,0.004871,
446,0.004667,
447,0.003094,
448,0.019999,
449,0.040774,
450,0.047410,
451,0.045108,
452,0.029048,
453,0.029586,
454,0.028080,
455,0.022864,
456,0.014624,
457,0.009530,
458,0.006397,
459,0.004906,
460,0.003956,
461,0.005670,
462,0.005138,
463,0.004507,
464,0.002895,
465,0.002424,
466,0.002172,
467,0.001194,
468,0.000116,
469,0.000462,
470,0.000461,
471,0.000459,
472,0.000000,
473,0.000000,
474,0.000000,
475,0.000539,
476,0.004374,
477,0.005982,
478,0.005870,
479,0.003428,
480,0.000209,
481,0.000000,
482,0.000000,
483,0.000408,
484,0.000832,
485,0.004633,
486,0.005287,
487,0.005441,
488,0.002491,
489,0.000869,
490,0.002252,
491,0.003282,
492,0.003601,
493,0.002663,
494,0.000707,
495,0.000521,
496,0.002251,
497,0.003123,
498,0.003175,
499,0.001959,
500,0.000167,
501,0.000234,
502,0.000505,
503,0.000504,
504,0.000502,
505,0.000669,
506,0.001076,
507,0.001286,
508,0.001307,
509,0.000762,
510,0.002009,
511,0.004696,
512,0.010886,
513,0.013786,
514,0.012535,
515,0.009933,
516,0.003239,
517,0.002504,
518,0.000397,
519,0.000458,
520,0.000280,
521,0.000776,
522,0.000868,
523,0.000866,
524,0.001535,
525,0.001556,
526,0.001673,
527,0.002047,
528,0.020826,
529,0.032152,
530,0.036250,
531,0.031543,
532,0.014892,
533,0.011234,
534,0.009872,
535,0.009007,
536,0.014911,
537,0.025185,
538,0.023017,
539,0.017838,
540,0.004720,
541,0.010365,
542,0.011084,
543,0.010726,
544,0.004570,
545,0.001245,
546,0.001101,
547,0.000898,
548,0.000580,
549,0.005430,
550,0.007419,
551,0.007250,
552,0.004733,
553,0.001692,
554,0.003492,
555,0.006991,
556,0.012383,
557,0.022032,
558,0.027289,
559,0.024339,
560,0.019284,
561,0.010240,
562,0.010687,
563,0.013207,
564,0.021220,
565,0.029525,
566,0.026212,
567,0.018214,
568,0.008931,
569,0.010066,
570,0.016742,
571,0.027323,
572,0.024340,
573,0.024043,
574,0.020639,
575,0.019320,
576,0.024444,
577,0.025794,
578,0.019352,
579,0.015362,
580,0.011477,
581,0.008342,
582,0.013108,
583,0.022997,
584,0.028929,
585,0.030701,
586,0.025820,
587,0.031540,
588,0.043616,
589,0.056601,
590,0.070332,
591,0.067552,
592,0.065966,
593,0.073385,
594,0.088799,
595,0.109567,
596,0.125731,
597,0.143019,
598,0.170782,
599,0.207137,
600,0.243142,
601,0.286298,
602,0.325970,
603,0.365670,
604,0.419158,
605,0.492062,
606,0.578356,
607,0.674505,
608,0.785398,
609,0.906214,
610,1.027647,
611,1.189143,
612,1.375417,
613,1.602240,
614,1.853904,
615,2.098798,
616,2.398432,
617,2.719697,
618,3.061715,
619,3.412415,
620,3.775676,
621,4.161715,
622,4.541514,
623,5.030904,
624,5.611905,
625,6.326679,
626,7.168771,
627,7.959585,
628,8.715709,
629,9.132050,
630,9.141219,
631,8.682198,
632,7.920557,
633,6.749990,
634,5.425326,
635,4.197312,
636,3.190909,
637,2.503132,
638,1.919355,
639,1.482479,
640,1.146049,
641,0.907242,
642,0.745135,
643,0.590449,
644,0.459492,
645,0.336651,
646,0.254423,
647,0.202825,
648,0.154341,
649,0.116569,
650,0.089509,
651,0.076120,
652,0.069410,
653,0.053592,
654,0.034677,
655,0.026792,
656,0.026460,
657,0.029519,
658,0.030451,
659,0.024784,
660,0.021330,
661,0.016846,
662,0.011953,
663,0.019747,
664,0.024718,
665,0.023328,
666,0.013602,
667,0.002549,
668,0.000000,
669,0.000114,
670,0.000457,
671,0.001958,
672,0.002010,
673,0.001674,
674,0.000667,
675,0.000000,
676,0.000000,
677,0.000000,
678,0.000000,
679,0.000000,
680,0.000000,
681,0.000114,
682,0.000460,
683,0.000463,
684,0.000467,
685,0.000139,
686,0.004308,
687,0.007557,
688,0.007623,
689,0.006150,
690,0.000663,
691,0.000000,
692,0.000000,
693,0.000000,
694,0.000000,
695,0.000000,
696,0.000000,
697,0.001068,
698,0.001253,
699,0.001261,
700,0.000654,
701,0.000000,
702,0.000000,
703,0.000000,
704,0.000000,
705,0.000000,
706,0.000000,
707,0.000000,
708,0.000000,
709,0.000000,
710,0.000000,
711,0.000000,
712,0.000260,
713,0.000810,
714,0.000973,
715,0.000981,
716,0.000320,
717,0.000000,
718,0.000000,
719,0.000000,
720,0.000000,
721,0.000000,
722,0.000000,
723,0.000000,
724,0.000000,
725,0.000000,
726,0.000000,
727,0.000000,
728,0.000000,
729,0.000000,
730,0.000000,
731,0.000000,
732,0.000000,
733,0.000000,
734,0.000000,
735,0.000000,
736,0.000151,
737,0.000304,
738,0.000307,
739,0.000309,
740,0.000000,
741,0.000000,
742,0.000000,
743,0.000000,
744,0.000000,
745,0.000000,
746,0.000000,
747,0.000385,
748,0.000518,
749,0.000526,
750,0.000400,
751,0.000356,
752,0.006867,
753,0.006950,
754,0.007037,
755,0.002555,
756,0.000000,
757,0.000000,
758,0.000000,
759,0.000000,
760,0.000000,
761,0.000000,
762,0.000000,
763,0.000000,
764,0.005746,
765,0.010501,
766,0.010631,
767,0.009035,
768,0.000064,
769,0.000000,
770,0.035788,
771,0.043579,
772,0.043406,
773,0.025261,
774,0.000000,
775,0.000000,
776,0.000000,
777,0.000000,
778,0.000000,
779,0.000000,
780,0.000000,
