機型,OHSP-350
系統版本號,1.60.2
描述,OHS
測試日期,2026-02-26
測試時間,21:52:35
照度E(lx),50.35
照度E(fc),4.68
相關色溫(K),1001
黑體距離Duv,-0.00789
CIE x,0.6926
CIE y,0.3045
CIE u,0.5258
CIE v,0.3467
CIE u',0.5258
CIE v',0.5201
色差,100.00
顯色指數Ra,13.8
R1,8
R2,79
R3,31
R4,-23
R5,5
R6,93
R7,-1
R8,-81
R9,-100
R10,73
R11,-6
R12,77
R13,32
R14,60
R15,-39
輻照度Ee(mW/c㎡),0.024
明暗視覺比S/P,0.063
主波長(nm),622.10
色純度(%),99.2
半寬度(nm),12.9
峰值波長(nm),629.8
中心波長(nm),628.3
質心波長(nm),626.0
紅色比(%),97.2
綠色比(%),2.7
藍色比(%),0.0
CIE1931 X,167.686
CIE1931 Y,73.719
CIE1931 Z,0.719
TLCI-2012,7
積分時間(ms),330.00
峰值信號,55265
暗信號,2684
補償電平,2952
起始波長(nm),380
終止波長(nm),780
波長(nm),[mW/m2/nm]
380,0.003795,
381,0.002497,
382,0.000004,
383,0.000018,
384,0.000017,
385,0.000016,
386,0.000000,
387,0.000000,
388,0.000000,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000000,
394,0.000000,
395,0.000000,
396,0.000000,
397,0.000000,
398,0.000000,
399,0.000000,
400,0.000000,
401,0.000000,
402,0.000000,
403,0.000000,
404,0.000000,
405,0.000000,
406,0.000000,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000000,
413,0.000000,
414,0.000000,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.000000,
421,0.000000,
422,0.000000,
423,0.000000,
424,0.000000,
425,0.000000,
426,0.000000,
427,0.000000,
428,0.000000,
429,0.000876,
430,0.000876,
431,0.000876,
432,0.000219,
433,0.000000,
434,0.000000,
435,0.000000,
436,0.000000,
437,0.000000,
438,0.000000,
439,0.000000,
440,0.000094,
441,0.002807,
442,0.003312,
443,0.004582,
444,0.003672,
445,0.002034,
446,0.001842,
447,0.000778,
448,0.021993,
449,0.053713,
450,0.060664,
451,0.055496,
452,0.026462,
453,0.026205,
454,0.025949,
455,0.022420,
456,0.014574,
457,0.008853,
458,0.005341,
459,0.002195,
460,0.001395,
461,0.002647,
462,0.002764,
463,0.002830,
464,0.001214,
465,0.000937,
466,0.000776,
467,0.000435,
468,0.000000,
469,0.000000,
470,0.000000,
471,0.000000,
472,0.000000,
473,0.000000,
474,0.000000,
475,0.000000,
476,0.002349,
477,0.003383,
478,0.003372,
479,0.002143,
480,0.000000,
481,0.000000,
482,0.000000,
483,0.000027,
484,0.000373,
485,0.003372,
486,0.003349,
487,0.003331,
488,0.000988,
489,0.000215,
490,0.000799,
491,0.000845,
492,0.000756,
493,0.000165,
494,0.000000,
495,0.000000,
496,0.000836,
497,0.001240,
498,0.001235,
499,0.000815,
500,0.000000,
501,0.000024,
502,0.000095,
503,0.000095,
504,0.000095,
505,0.000000,
506,0.000000,
507,0.000000,
508,0.000000,
509,0.000196,
510,0.000584,
511,0.001067,
512,0.006012,
513,0.008029,
514,0.008530,
515,0.006522,
516,0.001508,
517,0.001065,
518,0.000008,
519,0.000005,
520,0.000000,
521,0.000308,
522,0.000512,
523,0.000511,
524,0.000611,
525,0.000457,
526,0.000455,
527,0.000531,
528,0.019307,
529,0.028617,
530,0.030582,
531,0.024912,
532,0.008603,
533,0.006873,
534,0.006864,
535,0.007846,
536,0.015885,
537,0.029207,
538,0.026993,
539,0.021464,
540,0.004840,
541,0.009556,
542,0.010593,
543,0.010408,
544,0.004164,
545,0.000477,
546,0.000306,
547,0.000245,
548,0.000160,
549,0.003079,
550,0.004051,
551,0.004089,
552,0.002692,
553,0.000989,
554,0.001493,
555,0.003298,
556,0.005682,
557,0.013957,
558,0.017353,
559,0.015335,
560,0.011536,
561,0.005255,
562,0.006150,
563,0.007875,
564,0.015657,
565,0.023905,
566,0.022962,
567,0.015107,
568,0.005977,
569,0.008033,
570,0.015100,
571,0.027565,
572,0.024835,
573,0.024954,
574,0.021521,
575,0.019823,
576,0.025797,
577,0.027134,
