機型,OHSP-350
系統版本號,1.60.2
描述,OHS
測試日期,2026-02-26
測試時間,22:08:49
照度E(lx),7.41
照度E(fc),0.69
相關色溫(K),1059
黑體距離Duv,-0.00973
CIE x,0.6200
CIE y,0.3297
CIE u,0.4339
CIE v,0.3461
CIE u',0.4339
CIE v',0.5191
色差,100.00
顯色指數Ra,72.7
R1,93
R2,83
R3,90
R4,85
R5,79
R6,43
R7,59
R8,50
R9,16
R10,73
R11,39
R12,-20
R13,83
R14,93
R15,75
輻照度Ee(mW/c㎡),0.003
明暗視覺比S/P,0.464
主波長(nm),611.60
色純度(%),85.0
半寬度(nm),8.2
峰值波長(nm),632.3
中心波長(nm),633.9
質心波長(nm),616.6
紅色比(%),71.6
綠色比(%),27.8
藍色比(%),0.6
CIE1931 X,20.410
CIE1931 Y,10.852
CIE1931 Z,1.655
TLCI-2012,12
積分時間(ms),2100.00
峰值信號,51524
暗信號,2997
補償電平,2906
起始波長(nm),380
終止波長(nm),780
波長(nm),[mW/m2/nm]
380,0.003922,
381,0.002989,
382,0.001344,
383,0.001161,
384,0.000571,
385,0.000265,
386,0.000000,
387,0.000000,
388,0.000260,
389,0.000433,
390,0.000430,
391,0.000316,
392,0.002394,
393,0.003072,
394,0.005380,
395,0.004367,
396,0.003915,
397,0.001433,
398,0.000796,
399,0.003724,
400,0.003785,
401,0.003712,
402,0.000838,
403,0.000680,
404,0.001313,
405,0.001409,
406,0.001122,
407,0.001185,
408,0.000878,
409,0.000862,
410,0.000623,
411,0.000788,
412,0.000783,
413,0.000510,
414,0.000120,
415,0.000475,
416,0.000469,
417,0.000491,
418,0.000040,
419,0.001504,
420,0.004187,
421,0.005114,
422,0.004276,
423,0.001740,
424,0.000254,
425,0.000089,
426,0.001431,
427,0.001972,
428,0.003478,
429,0.003967,
430,0.003110,
431,0.002342,
432,0.000835,
433,0.001043,
434,0.001780,
435,0.003104,
436,0.004653,
437,0.004905,
438,0.004325,
439,0.006766,
440,0.011038,
441,0.016968,
442,0.018612,
443,0.018012,
444,0.018680,
445,0.020498,
446,0.023530,
447,0.026694,
448,0.033884,
449,0.041082,
450,0.046618,
451,0.050482,
452,0.051002,
453,0.053476,
454,0.051258,
455,0.044110,
456,0.038019,
457,0.033836,
458,0.029580,
459,0.027557,
460,0.022235,
461,0.022601,
462,0.019986,
463,0.018286,
464,0.014192,
465,0.012408,
466,0.010367,
467,0.007717,
468,0.006057,
469,0.008103,
470,0.008826,
471,0.009023,
472,0.005156,
473,0.004227,
474,0.003575,
475,0.004438,
476,0.004468,
477,0.005427,
478,0.004845,
479,0.005002,
480,0.003056,
481,0.002340,
482,0.001862,
483,0.001278,
484,0.002519,
485,0.009486,
486,0.012369,
487,0.013326,
488,0.006993,
489,0.003353,
490,0.002507,
491,0.003013,
492,0.003807,
493,0.004607,
494,0.005103,
495,0.007488,
496,0.007065,
497,0.006576,
498,0.005277,
499,0.004897,
500,0.004781,
501,0.006538,
502,0.006111,
503,0.006821,
504,0.009618,
505,0.011508,
506,0.013327,
507,0.013666,
508,0.013503,
509,0.014570,
510,0.018341,
511,0.019532,
512,0.022261,
513,0.021530,
514,0.022614,
515,0.022920,
516,0.020872,
