機型,OHSP-350
系統版本號,1.60.2
描述,OHS
測試日期,2026-02-26
測試時間,22:08:25
照度E(lx),9.25
照度E(fc),0.86
相關色溫(K),1001
黑體距離Duv,-0.00617
CIE x,0.6646
CIE y,0.3202
CIE u,0.4822
CIE v,0.3485
CIE u',0.4822
CIE v',0.5227
色差,100.00
顯色指數Ra,62.8
R1,64
R2,97
R3,76
R4,63
R5,74
R6,74
R7,44
R8,11
R9,-68
R10,96
R11,87
R12,37
R13,78
R14,90
R15,33
輻照度Ee(mW/c㎡),0.004
明暗視覺比S/P,0.202
主波長(nm),615.10
色純度(%),95.5
半寬度(nm),8.2
峰值波長(nm),632.3
中心波長(nm),633.9
質心波長(nm),624.3
紅色比(%),83.3
綠色比(%),16.6
藍色比(%),0.2
CIE1931 X,28.117
CIE1931 Y,13.545
CIE1931 Z,0.644
TLCI-2012,12
積分時間(ms),1300.00
峰值信號,52501
暗信號,4793
補償電平,2942
起始波長(nm),380
終止波長(nm),780
波長(nm),[mW/m2/nm]
380,0.009506,
381,0.010311,
382,0.005767,
383,0.004068,
384,0.000000,
385,0.000000,
386,0.000043,
387,0.000168,
388,0.000168,
389,0.000168,
390,0.000000,
391,0.000000,
392,0.000252,
393,0.000373,
394,0.000816,
395,0.001060,
396,0.001028,
397,0.000655,
398,0.000248,
399,0.001262,
400,0.001249,
401,0.001258,
402,0.000229,
403,0.000938,
404,0.001166,
405,0.001162,
406,0.000699,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000000,
413,0.000000,
414,0.000000,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.001437,
421,0.003044,
422,0.003009,
423,0.002141,
424,0.000783,
425,0.000484,
426,0.000480,
427,0.000710,
428,0.001032,
429,0.003464,
430,0.003230,
431,0.003938,
432,0.002379,
433,0.002018,
434,0.001644,
435,0.000579,
436,0.000576,
437,0.000570,
438,0.000143,
439,0.000334,
440,0.001260,
441,0.006719,
442,0.008524,
443,0.011340,
444,0.008619,
445,0.006210,
446,0.006047,
447,0.006109,
448,0.015647,
449,0.021950,
450,0.026103,
451,0.026857,
452,0.025132,
453,0.028207,
454,0.025186,
455,0.019885,
456,0.011495,
457,0.007389,
458,0.004753,
459,0.003446,
460,0.002335,
461,0.005616,
462,0.005603,
463,0.006478,
464,0.003476,
465,0.002732,
466,0.002045,
467,0.000704,
468,0.000325,
469,0.001398,
470,0.001395,
471,0.001479,
472,0.000156,
473,0.000092,
474,0.000018,
475,0.001507,
476,0.004296,
477,0.005793,
478,0.005455,
479,0.002974,
480,0.000586,
481,0.000000,
482,0.000000,
483,0.000000,
484,0.000807,
485,0.006465,
486,0.008305,
487,0.008888,
488,0.004334,
489,0.001401,
490,0.000224,
491,0.000459,
492,0.001120,
493,0.001638,
494,0.001228,
495,0.001013,
496,0.001000,
497,0.001385,
498,0.001587,
499,0.001423,
500,0.000670,
501,0.000694,
502,0.000175,
503,0.000054,
504,0.000378,
505,0.000470,
506,0.000690,
507,0.000573,
508,0.000804,
509,0.001405,
510,0.003989,
511,0.006608,
512,0.010152,
513,0.009398,
514,0.008231,
515,0.008171,
516,0.005507,
517,0.005075,
518,0.003575,
519,0.004919,
520,0.006765,
521,0.009390,
522,0.009772,
523,0.008615,
524,0.007622,
525,0.007226,
526,0.010850,
527,0.016699,
528,0.025212,
529,0.029952,
530,0.032223,
531,0.027752,
532,0.024647,
533,0.022417,
534,0.019813,
535,0.016390,
536,0.018817,
537,0.021741,
538,0.021664,
539,0.018315,
540,0.016226,
541,0.024969,
542,0.024552,
543,0.021788,
544,0.014823,
545,0.009183,
546,0.010121,
547,0.011696,
548,0.011688,
549,0.017072,
550,0.016212,
551,0.013240,
552,0.009345,
553,0.005536,
554,0.009229,
555,0.012022,
556,0.017488,
557,0.024358,
558,0.028758,
559,0.027213,
560,0.022996,
561,0.015208,
562,0.012648,
563,0.014453,
564,0.020014,
565,0.027403,
566,0.023701,
567,0.015817,
568,0.009216,
569,0.009480,
570,0.012239,
571,0.017273,
572,0.014122,
573,0.015691,
574,0.014436,
575,0.012868,
576,0.015999,
577,0.014180,
578,0.009947,
579,0.007320,
580,0.008287,
581,0.009132,
582,0.016858,
583,0.029582,
584,0.041662,
585,0.050676,
586,0.055503,
587,0.063063,
588,0.078114,
589,0.093755,
590,0.112019,
591,0.117385,
592,0.120707,
593,0.127947,
594,0.133231,
595,0.137586,
596,0.135266,
597,0.137675,
598,0.151051,
599,0.165942,
600,0.171055,
601,0.169045,
602,0.162605,
603,0.158010,
604,0.157184,
605,0.160765,
606,0.174537,
607,0.218274,
608,0.325851,
609,0.457161,
610,0.535833,
611,0.570317,
612,0.653632,
613,0.892372,
614,1.169157,
615,1.255278,
616,1.083087,
617,0.762243,
618,0.509272,
619,0.387093,
620,0.357415,
621,0.346656,
622,0.339754,
623,0.331884,
624,0.330543,
625,0.356050,
626,0.397653,
627,0.437521,
628,0.541057,
629,0.862872,
630,1.584267,
631,2.432623,
632,2.933205,
633,2.854731,
634,2.469735,
635,2.194076,
636,2.115106,
637,1.924618,
638,1.405030,
639,0.777493,
640,0.363244,
641,0.185995,
642,0.129911,
