機型,OHSP-350
系統版本號,1.60.2
描述,OHS
測試日期,2026-02-26
測試時間,21:53:18
照度E(lx),16.22
照度E(fc),1.51
相關色溫(K),1001
黑體距離Duv,-0.00837
CIE x,0.6781
CIE y,0.3085
CIE u,0.5073
CIE v,0.3463
CIE u',0.5073
CIE v',0.5194
色差,100.00
顯色指數Ra,40.8
R1,42
R2,91
R3,55
R4,29
R5,48
R6,80
R7,20
R8,-38
R9,-100
R10,89
R11,53
R12,47
R13,60
R14,78
R15,1
輻照度Ee(mW/c㎡),0.007
明暗視覺比S/P,0.141
主波長(nm),620.40
色純度(%),96.0
半寬度(nm),12.5
峰值波長(nm),629.8
中心波長(nm),628.3
質心波長(nm),623.6
紅色比(%),92.2
綠色比(%),7.6
藍色比(%),0.2
CIE1931 X,52.192
CIE1931 Y,23.749
CIE1931 Z,1.031
TLCI-2012,11
積分時間(ms),1000.00
峰值信號,51552
暗信號,4679
補償電平,2954
起始波長(nm),380
終止波長(nm),780
波長(nm),[mW/m2/nm]
380,0.015100,
381,0.014342,
382,0.005815,
383,0.004364,
384,0.001412,
385,0.001827,
386,0.000967,
387,0.000764,
388,0.000000,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000000,
394,0.000255,
395,0.000578,
396,0.000836,
397,0.000695,
398,0.000442,
399,0.001082,
400,0.000987,
401,0.000968,
402,0.000894,
403,0.001056,
404,0.001107,
405,0.000590,
406,0.000140,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000000,
413,0.000000,
414,0.000000,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.000000,
421,0.000852,
422,0.000843,
423,0.000842,
424,0.000335,
425,0.000000,
426,0.000000,
427,0.000825,
428,0.001777,
429,0.005026,
430,0.004647,
431,0.004203,
432,0.001435,
433,0.000834,
434,0.000612,
435,0.000323,
436,0.000342,
437,0.000346,
438,0.000089,
439,0.000013,
440,0.000934,
441,0.009171,
442,0.011215,
443,0.015402,
444,0.011529,
445,0.008557,
446,0.009059,
447,0.008064,
448,0.022798,
449,0.033911,
450,0.041187,
451,0.042930,
452,0.041051,
453,0.045566,
454,0.044891,
455,0.038305,
456,0.028781,
457,0.022117,
458,0.015716,
459,0.011766,
460,0.008310,
461,0.010715,
462,0.009413,
463,0.008642,
464,0.004988,
465,0.004177,
466,0.003566,
467,0.002113,
468,0.000386,
469,0.001594,
470,0.001590,
471,0.002532,
472,0.001168,
473,0.001036,
474,0.000291,
475,0.001647,
476,0.005944,
477,0.007932,
478,0.007498,
479,0.004121,
480,0.000495,
481,0.000000,
482,0.000000,
483,0.000103,
484,0.000777,
485,0.005784,
486,0.008046,
487,0.008730,
488,0.004660,
489,0.001718,
490,0.000792,
491,0.001148,
492,0.002024,
493,0.002220,
494,0.001502,
495,0.001137,
496,0.002831,
497,0.003741,
498,0.003842,
499,0.002365,
500,0.000292,
501,0.001615,
502,0.003096,
503,0.003088,
504,0.003185,
505,0.001348,
506,0.001834,
507,0.002954,
508,0.004169,
509,0.004965,
510,0.008323,
511,0.010353,
512,0.015523,
513,0.015357,
514,0.013165,
515,0.011661,
516,0.006698,
517,0.005858,
518,0.003517,
519,0.004999,
520,0.006388,
521,0.007863,
522,0.006873,
523,0.005060,
524,0.004828,
525,0.003847,
526,0.005094,
527,0.006300,
528,0.015955,
529,0.024084,
530,0.029466,
531,0.027930,
532,0.019908,
533,0.015590,
534,0.012814,
535,0.010333,
536,0.013448,
537,0.017106,
538,0.016374,
539,0.013629,
540,0.009564,
541,0.017136,
542,0.016921,
543,0.014420,
544,0.007355,
545,0.002801,
546,0.003361,
547,0.005034,
548,0.005158,
549,0.011469,
550,0.012639,
551,0.011997,
552,0.009597,
553,0.006962,
554,0.010991,
555,0.013888,
556,0.019719,
557,0.028119,
558,0.033775,
559,0.031368,
560,0.026374,
561,0.017025,
562,0.016202,
563,0.019847,
564,0.029444,
565,0.039582,
566,0.035682,
567,0.024968,
568,0.015843,
569,0.017905,
570,0.025067,
571,0.034645,
572,0.029978,
573,0.029615,
574,0.026155,
575,0.024015,
576,0.029091,
577,0.028570,
578,0.022911,
579,0.019179,
580,0.017984,
581,0.015461,
582,0.019585,
583,0.027153,
584,0.031583,
585,0.034087,
586,0.029341,
587,0.030253,
588,0.038259,
589,0.046669,
590,0.058386,
591,0.057097,
592,0.054761,
593,0.059101,
594,0.066047,
595,0.076292,
596,0.080276,
597,0.086226,
598,0.101400,
599,0.122950,
600,0.140529,
601,0.160898,
602,0.178600,
603,0.196376,
604,0.220894,
605,0.254018,
606,0.297227,
607,0.343712,
608,0.400740,
609,0.460253,
610,0.522004,
611,0.605427,
612,0.698397,
613,0.813409,
614,0.936696,
615,1.054968,
616,1.198367,
617,1.348250,
618,1.508358,
619,1.670654,
620,1.843898,
621,2.030864,
622,2.216238,
623,2.451889,
624,2.732825,
625,3.089020,
626,3.508903,
627,3.895088,
628,4.257937,
629,4.457572,
630,4.462248,
631,4.224824,
632,3.834354,
633,3.233172,
634,2.579059,
635,1.985824,
636,1.510225,
637,1.187342,
638,0.915983,
639,0.706606,
640,0.546986,
641,0.433231,
642,0.354853,
643,0.283879,
644,0.217789,
645,0.159529,
646,0.119572,
647,0.097343,
648,0.076446,
649,0.057475,
650,0.042109,
651,0.036907,
652,0.038318,
653,0.031555,
654,0.019604,
655,0.014578,
656,0.016584,
657,0.019126,
658,0.020891,
659,0.018521,
660,0.016274,
661,0.013125,
662,0.010600,
663,0.023206,
664,0.029237,
665,0.028918,
666,0.013780,
667,0.001993,
668,0.000000,
669,0.000597,
670,0.001939,
671,0.005196,
672,0.005377,
673,0.003887,
674,0.001477,
675,0.000000,
676,0.000000,
677,0.000000,
678,0.000000,
679,0.000000,
680,0.000000,
681,0.000077,
682,0.000680,
683,0.001314,
684,0.002465,
685,0.002120,
686,0.006484,
687,0.009611,
688,0.009589,
689,0.007944,
690,0.001330,
691,0.000000,
692,0.000000,
693,0.000000,
694,0.000000,
695,0.000095,
696,0.000312,
697,0.002174,
698,0.002378,
699,0.002651,
700,0.001745,
701,0.000791,
702,0.000682,
703,0.000000,
704,0.000000,
705,0.000000,
706,0.000000,
707,0.000000,
708,0.000000,
709,0.000000,
710,0.000000,
711,0.000000,
712,0.000777,
713,0.001602,
714,0.001613,
715,0.001447,
716,0.000000,
717,0.000000,
718,0.000000,
719,0.000000,
720,0.000000,
721,0.000000,
722,0.000000,
723,0.000000,
724,0.000178,
725,0.001837,
726,0.001975,
727,0.001989,
728,0.000759,
729,0.000000,
730,0.000000,
731,0.000000,
732,0.000000,
733,0.000000,
734,0.000000,
735,0.000000,
736,0.000000,
737,0.000000,
738,0.000000,
739,0.000000,
740,0.000102,
741,0.000517,
742,0.000523,
743,0.000529,
744,0.000134,
745,0.000000,
746,0.000000,
747,0.000801,
748,0.001079,
749,0.001094,
750,0.000833,
751,0.000658,
752,0.008313,
753,0.008413,
754,0.008518,
755,0.002902,
756,0.000000,
757,0.000000,
758,0.000392,
759,0.002102,
760,0.002128,
761,0.002158,
762,0.000578,
763,0.000000,
764,0.005036,
765,0.011911,
766,0.012058,
767,0.011282,
768,0.000711,
769,0.000000,
770,0.017385,
771,0.020408,
772,0.020327,
773,0.011208,
774,0.000173,
775,0.000174,
776,0.000175,
777,0.000088,
778,0.000000,
779,0.000171,
780,0.000435,
