機型,OHSP-350
系統版本號,1.60.2
描述,OHS
測試日期,2026-02-26
測試時間,21:51:00
照度E(lx),882.54
照度E(fc),81.99
相關色溫(K),6759
黑體距離Duv,0.00739
CIE x,0.3075
CIE y,0.3321
CIE u,0.1931
CIE v,0.3128
CIE u',0.1931
CIE v',0.4692
色差,3.87
顯色指數Ra,43.0
R1,23
R2,61
R3,77
R4,44
R5,47
R6,56
R7,51
R8,-15
R9,-100
R10,28
R11,44
R12,59
R13,30
R14,80
R15,6
輻照度Ee(mW/c㎡),0.326
明暗視覺比S/P,3.030
主波長(nm),491.10
色純度(%),8.8
半寬度(nm),13.8
峰值波長(nm),629.8
中心波長(nm),628.5
質心波長(nm),542.8
紅色比(%),25.9
綠色比(%),64.5
藍色比(%),9.6
CIE1931 X,1196.449
CIE1931 Y,1292.158
CIE1931 Z,1401.705
TLCI-2012,22
積分時間(ms),74.00
峰值信號,53850
暗信號,3178
補償電平,2970
起始波長(nm),380
終止波長(nm),780
波長(nm),[mW/m2/nm]
380,0.000000,
381,0.000000,
382,0.000000,
383,0.000000,
384,0.000000,
385,0.000000,
386,0.000000,
387,0.000000,
388,0.000000,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000000,
394,0.000000,
395,0.000000,
396,0.000000,
397,0.000000,
398,0.000000,
399,0.000000,
400,0.000000,
401,0.000000,
402,0.000000,
403,0.000000,
404,0.000000,
405,0.000000,
406,0.000000,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000000,
413,0.000000,
414,0.000000,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.000000,
421,0.000000,
422,0.000000,
423,0.000000,
424,0.000000,
425,0.000000,
426,0.000000,
427,0.000000,
428,0.000000,
429,0.000032,
430,0.000032,
431,0.002744,
432,0.012724,
433,0.031399,
434,0.069682,
435,0.124138,
436,0.196115,
437,0.269566,
438,0.351747,
439,0.460718,
440,0.592480,
441,0.749536,
442,0.926067,
443,1.135614,
444,1.382987,
445,1.677269,
446,2.036533,
447,2.462567,
448,2.970618,
449,3.545300,
450,4.191675,
451,5.027913,
452,5.922862,
453,6.939542,
454,8.087396,
455,9.403125,
456,10.912437,
457,12.631340,
458,14.620675,
459,16.908627,
460,19.537313,
461,22.500986,
462,25.892576,
463,29.734991,
464,33.971127,
465,38.404278,
466,42.835503,
467,47.041950,
468,50.596401,
469,52.876678,
470,54.019447,
471,53.666180,
472,52.320400,
473,49.627483,
474,45.545574,
475,41.204933,
476,36.690239,
477,32.488289,
478,28.827631,
479,25.781864,
480,23.356546,
481,21.342377,
482,19.744463,
483,18.430590,
484,17.303360,
485,16.274387,
486,15.246249,
487,14.188678,
488,13.095405,
489,11.951794,
490,10.817103,
491,9.738682,
492,8.722343,
493,7.811262,
494,7.026540,
495,6.369025,
496,5.859367,
497,5.474201,
498,5.220321,
499,5.068212,
500,5.022136,
501,5.052181,
502,5.154419,
503,5.326246,
504,5.564019,
505,5.879142,
506,6.236407,
507,6.707255,
508,7.282419,
509,7.976750,
510,8.796715,
511,9.764961,
512,10.857443,
513,12.095668,
514,13.489316,
515,15.020501,
516,16.721052,
517,18.492100,
518,20.340118,
519,22.179747,
520,24.023458,
521,25.778975,
522,27.423531,
523,28.852407,
524,30.079800,
525,31.026718,
526,31.637644,
527,31.871513,
528,31.688906,
529,31.304960,
530,30.571993,
531,29.653896,
532,28.547630,
533,27.251144,
534,25.820457,
535,24.336983,
536,22.832634,
537,21.358032,
538,19.980392,
539,18.692703,
540,17.525240,
541,16.425379,
542,15.463704,
543,14.588385,
544,13.900441,
545,13.164846,
546,12.466899,
547,11.800519,
548,11.155644,
549,10.510572,
550,9.884863,
551,9.248403,
552,8.625023,
553,8.008176,
554,7.415508,
555,6.918481,
556,6.370954,
557,5.848472,
558,5.355234,
559,4.897087,
560,4.472088,
561,4.079339,
562,3.726110,
563,3.404762,
564,3.122536,
565,2.870178,
566,2.661929,
567,2.448930,
568,2.253734,
569,2.081862,
570,1.928038,
571,1.792900,
572,1.662802,
573,1.544022,
574,1.434288,
575,1.343655,
576,1.257699,
577,1.178080,
578,1.092051,
579,1.014113,
580,0.942449,
581,0.875439,
582,0.829635,
583,0.786809,
584,0.751295,
585,0.718629,
586,0.687930,
587,0.672658,
588,0.671096,
589,0.678969,
590,0.694259,
591,0.703865,
592,0.736625,
593,0.796427,
594,0.882265,
595,0.992733,
596,1.108318,
597,1.268732,
598,1.467046,
599,1.702746,
600,1.966259,
601,2.276027,
602,2.627132,
603,2.985893,
604,3.445616,
605,3.968450,
606,4.583993,
607,5.277403,
608,6.089849,
609,7.002439,
610,7.921794,
611,9.100449,
612,10.435540,
613,11.991887,
614,13.757164,
615,15.526762,
616,17.696894,
617,20.041927,
618,22.532501,
619,25.123983,
620,27.826687,
621,30.671900,
622,33.412395,
623,36.874596,
624,40.865917,
625,45.558338,
626,50.964771,
627,56.195965,
628,61.545437,
629,65.064598,
630,65.660500,
631,63.641582,
632,59.399033,
633,52.570736,
634,44.029362,
