機型,OHSP-350
系統版本號,1.60.2
描述,OHS
測試日期,2026-02-26
測試時間,22:06:59
照度E(lx),139.86
照度E(fc),12.99
相關色溫(K),8355
黑體距離Duv,-0.00608
CIE x,0.2949
CIE y,0.2933
CIE u,0.1989
CIE v,0.2968
CIE u',0.1989
CIE v',0.4451
色差,22.57
顯色指數Ra,68.2
R1,70
R2,72
R3,67
R4,73
R5,71
R6,60
R7,77
R8,57
R9,-55
R10,26
R11,71
R12,32
R13,70
R14,81
R15,65
輻照度Ee(mW/c㎡),0.044
明暗視覺比S/P,2.128
主波長(nm),476.20
色純度(%),16.9
半寬度(nm),15.7
峰值波長(nm),444.2
中心波長(nm),445.2
質心波長(nm),524.6
紅色比(%),10.9
綠色比(%),84.9
藍色比(%),4.2
CIE1931 X,205.913
CIE1931 Y,204.775
CIE1931 Z,287.579
TLCI-2012,34
積分時間(ms),560.00
峰值信號,53218
暗信號,3467
補償電平,2954
起始波長(nm),380
終止波長(nm),780
波長(nm),[mW/m2/nm]
380,0.032173,
381,0.030493,
382,0.013288,
383,0.013299,
384,0.008256,
385,0.011527,
386,0.007296,
387,0.005461,
388,0.001097,
389,0.000000,
390,0.000020,
391,0.000098,
392,0.000095,
393,0.000863,
394,0.005872,
395,0.009104,
396,0.012998,
397,0.008800,
398,0.007022,
399,0.007295,
400,0.007129,
401,0.008248,
402,0.009272,
403,0.012661,
404,0.012199,
405,0.009038,
406,0.004188,
407,0.003957,
408,0.003224,
409,0.004352,
410,0.003125,
411,0.002162,
412,0.001261,
413,0.001334,
414,0.001222,
415,0.001805,
416,0.002217,
417,0.002203,
418,0.001150,
419,0.001185,
420,0.006177,
421,0.010901,
422,0.010519,
423,0.006805,
424,0.007379,
425,0.014739,
426,0.030405,
427,0.062858,
428,0.113776,
429,0.199079,
430,0.316703,
431,0.507111,
432,0.776021,
433,1.152380,
434,1.625729,
435,2.204812,
436,2.944164,
437,3.693908,
438,4.519061,
439,5.386864,
440,6.258728,
441,7.038879,
442,7.714870,
443,8.160973,
444,8.361896,
445,8.309318,
446,8.022691,
447,7.580158,
448,6.959339,
449,6.259200,
450,5.622041,
451,5.020935,
452,4.597702,
453,4.240730,
454,3.950217,
455,3.720848,
456,3.526305,
457,3.332303,
458,3.127393,
459,2.905341,
460,2.670459,
461,2.421109,
462,2.173122,
463,1.935618,
464,1.723692,
465,1.540625,
466,1.381184,
467,1.246431,
468,1.137674,
469,1.059589,
470,0.998582,
471,0.950599,
472,0.899530,
473,0.854814,
474,0.800860,
475,0.762960,
476,0.730985,
477,0.692442,
478,0.649051,
479,0.596827,
480,0.543296,
481,0.499968,
482,0.466292,
483,0.445318,
484,0.428111,
485,0.423584,
486,0.418513,
487,0.413296,
488,0.398589,
489,0.394785,
490,0.406197,
491,0.418132,
492,0.429615,
493,0.434379,
494,0.441426,
495,0.459181,
496,0.481292,
497,0.508662,
498,0.535685,
499,0.562487,
500,0.591903,
501,0.635265,
502,0.684056,
503,0.729327,
504,0.782782,
505,0.835596,
506,0.889659,
507,0.947541,
508,1.002535,
509,1.060409,
510,1.124563,
511,1.190976,
512,1.265692,
513,1.333279,
514,1.396263,
515,1.453202,
516,1.511521,
517,1.577606,
518,1.639371,
519,1.702620,
520,1.764290,
521,1.829145,
522,1.888461,
523,1.939238,
524,1.990625,
525,2.041114,
526,2.093864,
527,2.147664,
528,2.205930,
529,2.252755,
530,2.289975,
531,2.321388,
532,2.346220,
533,2.379089,
534,2.401006,
535,2.421568,
536,2.443996,
537,2.469290,
538,2.485271,
539,2.497581,
540,2.503226,
541,2.520339,
542,2.530497,
543,2.537868,
544,2.542541,
545,2.543564,
546,2.544804,
547,2.544510,
548,2.540235,
549,2.536922,
550,2.527485,
551,2.505911,
552,2.483039,
553,2.457684,
554,2.441873,
555,2.430842,
556,2.413065,
557,2.395368,
558,2.368692,
559,2.331051,
560,2.293843,
561,2.252455,
562,2.223495,
563,2.195763,
564,2.168242,
565,2.142308,
566,2.109097,
567,2.068457,
568,2.030542,
569,2.004695,
570,1.987786,
571,1.977320,
572,1.959074,
573,1.953933,
574,1.960992,
575,1.979731,
576,2.017503,
577,2.057232,
578,2.101210,
579,2.156141,
580,2.219957,
581,2.279779,
582,2.339031,
583,2.396873,
584,2.448647,
585,2.487246,
586,2.509182,
587,2.522866,
588,2.530095,
589,2.527908,
590,2.521196,
591,2.497508,
592,2.458093,
593,2.417170,
594,2.369315,
595,2.319034,
596,2.266716,
597,2.201101,
598,2.140375,
599,2.086958,
600,2.026678,
601,1.969273,
602,1.904070,
603,1.846446,
604,1.779998,
605,1.719667,
606,1.667141,
607,1.609215,
608,1.560319,
609,1.501874,
610,1.456930,
611,1.414119,
612,1.374829,
613,1.343967,
614,1.303748,
615,1.266230,
616,1.220634,
617,1.180408,
618,1.138452,
619,1.090617,
620,1.048282,
621,1.013802,
622,0.990302,
623,0.960478,
624,0.926003,
625,0.899114,
626,0.885850,
627,0.864863,
628,0.844999,
629,0.817859,
630,0.802228,
631,0.789332,
632,0.771810,
633,0.744982,
634,0.713432,
635,0.676199,
636,0.656263,
637,0.638128,
638,0.620177,
639,0.599534,
640,0.573963,
641,0.573799,
642,0.574533,
643,0.566585,
644,0.547816,
645,0.508951,
646,0.486986,
647,0.473250,
648,0.455077,
649,0.437982,
650,0.423421,
651,0.415585,
652,0.411481,
653,0.389131,
654,0.362859,
655,0.347463,
656,0.342762,
657,0.340732,
658,0.337055,
659,0.325955,
660,0.314205,
661,0.299210,
662,0.283540,
663,0.291771,
664,0.295478,
665,0.284593,
666,0.250202,
667,0.217153,
668,0.202454,
669,0.203045,
670,0.206900,
671,0.212592,
672,0.204214,
673,0.185936,
674,0.158063,
675,0.146037,
676,0.145532,
677,0.147387,
678,0.140912,
679,0.125367,
680,0.120606,
681,0.118901,
682,0.129308,
683,0.128192,
684,0.125105,
685,0.111371,
686,0.123804,
687,0.129644,
688,0.126249,
