機型,OHSP-350
系統版本號,1.60.2
描述,OHS
測試日期,2026-02-26
測試時間,22:26:14
照度E(lx),1801.88
照度E(fc),167.40
相關色溫(K),3229
黑體距離Duv,0.03196
CIE x,0.4691
CIE y,0.5080
CIE u,0.2300
CIE v,0.3736
CIE u',0.2300
CIE v',0.5604
色差,43.38
顯色指數Ra,27.3
R1,33
R2,56
R3,20
R4,20
R5,52
R6,41
R7,16
R8,-19
R9,-79
R10,16
R11,15
R12,10
R13,41
R14,53
R15,34
輻照度Ee(mW/c㎡),0.492
明暗視覺比S/P,1.543
主波長(nm),575.00
色純度(%),93.4
半寬度(nm),13.4
峰值波長(nm),629.8
中心波長(nm),628.3
質心波長(nm),585.0
紅色比(%),31.9
綠色比(%),67.8
藍色比(%),0.2
CIE1931 X,2435.842
CIE1931 Y,2638.183
CIE1931 Z,118.978
TLCI-2012,4
積分時間(ms),30.00
峰值信號,54066
暗信號,2610
補償電平,2964
起始波長(nm),380
終止波長(nm),780
波長(nm),[mW/m2/nm]
380,0.000000,
381,0.000000,
382,0.000000,
383,0.000000,
384,0.000000,
385,0.000000,
386,0.000000,
387,0.000000,
388,0.000000,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000000,
394,0.000000,
395,0.000000,
396,0.000000,
397,0.000000,
398,0.000000,
399,0.000000,
400,0.000000,
401,0.000000,
402,0.000000,
403,0.000000,
404,0.000000,
405,0.000000,
406,0.000000,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000000,
413,0.000000,
414,0.000000,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.000000,
421,0.000000,
422,0.000000,
423,0.000000,
424,0.000000,
425,0.000000,
426,0.000000,
427,0.000000,
428,0.000000,
429,0.000000,
430,0.000000,
431,0.000000,
432,0.000000,
433,0.000000,
434,0.000000,
435,0.000000,
436,0.000000,
437,0.000000,
438,0.000000,
439,0.000000,
440,0.000000,
441,0.000000,
442,0.000000,
443,0.000000,
444,0.000000,
445,0.000000,
446,0.000000,
447,0.000000,
448,0.000985,
449,0.002430,
450,0.002415,
451,0.001930,
452,0.000000,
453,0.000000,
454,0.000000,
455,0.000000,
456,0.000000,
457,0.000000,
458,0.000000,
459,0.000000,
460,0.000000,
461,0.000000,
462,0.000000,
463,0.000000,
464,0.000000,
465,0.000000,
466,0.000000,
467,0.000000,
468,0.000000,
469,0.000000,
470,0.000000,
471,0.000000,
472,0.000000,
473,0.000000,
474,0.000000,
475,0.000000,
476,0.000000,
477,0.000000,
478,0.000000,
479,0.000000,
480,0.002379,
481,0.018928,
482,0.050733,
483,0.095691,
484,0.150793,
485,0.229720,
486,0.324804,
487,0.429809,
488,0.529587,
489,0.647983,
490,0.782475,
491,0.940323,
492,1.130104,
493,1.342520,
494,1.585420,
495,1.863235,
496,2.178999,
497,2.551976,
498,2.976440,
499,3.456156,
500,4.009104,
501,4.634011,
502,5.373783,
503,6.222743,
504,7.190333,
505,8.289987,
506,9.409136,
507,10.825371,
508,12.470159,
509,14.340386,
510,16.444963,
511,18.812998,
512,21.416998,
513,24.328058,
514,27.531717,
515,31.010698,
516,34.817432,
517,38.761402,
518,42.853882,
519,46.909458,
520,50.926041,
521,54.764851,
522,58.365345,
523,61.551888,
524,64.290237,
525,66.419777,
526,67.793953,
527,68.323891,
528,67.939507,
529,67.171631,
530,65.731415,
531,63.885254,
532,61.599838,
533,58.860477,
534,55.836708,
535,52.693241,
536,49.461872,
537,46.270687,
538,43.333664,
539,40.607948,
540,38.175045,
541,35.836231,
542,33.771549,
543,31.876842,
544,30.370426,
545,28.770563,
546,27.244532,
547,25.808336,
548,24.402834,
549,23.012459,
550,21.668489,
551,20.331295,
552,19.036249,
553,17.755739,
554,16.506926,
555,15.443822,
556,14.264688,
557,13.144938,
558,12.090763,
559,11.101525,
560,10.174254,
561,9.316318,
562,8.533484,
563,7.837800,
564,7.230172,
565,6.674796,
566,6.213734,
567,5.721729,
568,5.276179,
569,4.893368,
570,4.543101,
571,4.233693,
572,3.925569,
573,3.654101,
574,3.407267,
575,3.210858,
576,3.008016,
577,2.801495,
578,2.598103,
579,2.416347,
580,2.267282,
581,2.139534,
582,2.041987,
583,1.940794,
584,1.844667,
585,1.769022,
586,1.707713,
587,1.677366,
588,1.669688,
589,1.694603,
590,1.748218,
591,1.823857,
592,1.948696,
593,2.135974,
594,2.388764,
595,2.721364,
596,3.069808,
597,3.535123,
598,4.077686,
599,4.713696,
600,5.430422,
601,6.275918,
602,7.237070,
603,8.212879,
604,9.440529,
605,10.816568,
606,12.403830,
607,14.190226,
608,16.226603,
609,18.520712,
610,20.838156,
611,23.800421,
612,27.154928,
613,31.022646,
614,35.426792,
615,39.847523,
616,45.295265,
617,51.169952,
618,57.402962,
619,63.903667,
620,70.675789,
621,77.820381,
622,84.824203,
623,93.788155,
624,104.258904,
625,116.502861,
626,130.462265,
627,143.642776,
628,156.336990,
629,163.665726,
630,163.484131,
631,156.488647,
632,144.307816,
633,125.866867,
634,103.776802,
