機型,OHSP-350
系統版本號,1.60.2
描述,OHS
測試日期,2026-02-26
測試時間,22:18:09
照度E(lx),39.67
照度E(fc),3.69
相關色溫(K),3646
黑體距離Duv,0.03861
CIE x,0.4417
CIE y,0.5148
CIE u,0.2130
CIE v,0.3724
CIE u',0.2130
CIE v',0.5586
色差,49.73
顯色指數Ra,66.1
R1,82
R2,76
R3,41
R4,78
R5,92
R6,66
R7,55
R8,38
R9,8
R10,37
R11,83
R12,28
R13,83
R14,64
R15,75
輻照度Ee(mW/c㎡),0.010
明暗視覺比S/P,1.366
主波長(nm),571.90
色純度(%),87.2
半寬度(nm),8.2
峰值波長(nm),632.3
中心波長(nm),633.9
質心波長(nm),582.7
紅色比(%),23.8
綠色比(%),76.0
藍色比(%),0.3
CIE1931 X,49.837
CIE1931 Y,58.083
CIE1931 Z,4.914
TLCI-2012,31
積分時間(ms),1000.00
峰值信號,48614
暗信號,2876
補償電平,2928
起始波長(nm),380
終止波長(nm),780
波長(nm),[mW/m2/nm]
380,0.015368,
381,0.015299,
382,0.007248,
383,0.006373,
384,0.001988,
385,0.001921,
386,0.000089,
387,0.000070,
388,0.000000,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000000,
394,0.000308,
395,0.000892,
396,0.001566,
397,0.001404,
398,0.001150,
399,0.001809,
400,0.001628,
401,0.001597,
402,0.001091,
403,0.001496,
404,0.001631,
405,0.001001,
406,0.000351,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000007,
413,0.000013,
414,0.000013,
415,0.000011,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.000210,
421,0.001101,
422,0.001088,
423,0.000959,
424,0.000330,
425,0.000000,
426,0.000013,
427,0.001138,
428,0.003412,
429,0.007158,
430,0.006665,
431,0.005267,
432,0.001471,
433,0.000889,
434,0.000928,
435,0.001553,
436,0.002288,
437,0.003377,
438,0.004965,
439,0.009353,
440,0.017774,
441,0.032479,
442,0.040793,
443,0.052267,
444,0.053990,
445,0.061383,
446,0.069433,
447,0.076361,
448,0.097585,
449,0.111827,
450,0.122732,
451,0.124329,
452,0.119277,
453,0.117183,
454,0.106483,
455,0.090476,
456,0.072280,
457,0.059011,
458,0.045929,
459,0.039267,
460,0.033406,
461,0.034556,
462,0.030189,
463,0.026955,
464,0.020603,
465,0.019375,
466,0.016328,
467,0.011018,
468,0.004716,
469,0.003904,
470,0.003237,
471,0.005182,
472,0.002786,
473,0.002378,
474,0.000439,
475,0.002368,
476,0.008952,
477,0.012500,
478,0.014417,
479,0.010301,
480,0.005039,
481,0.001643,
482,0.000483,
483,0.001378,
484,0.003212,
485,0.012200,
486,0.017382,
487,0.018254,
488,0.010766,
489,0.006775,
490,0.009554,
491,0.014020,
492,0.017977,
493,0.018638,
494,0.014935,
495,0.015164,
496,0.016466,
497,0.022787,
498,0.026661,
499,0.033522,
500,0.034890,
501,0.048567,
502,0.060673,
503,0.069255,
504,0.085065,
505,0.098651,
506,0.118190,
507,0.141086,
508,0.165279,
509,0.193085,
510,0.229308,
511,0.264078,
512,0.306810,
513,0.345569,
514,0.384762,
515,0.421772,
516,0.455803,
517,0.497798,
518,0.537703,
519,0.584378,
520,0.628925,
521,0.672754,
522,0.712179,
523,0.746313,
524,0.783744,
525,0.824777,
526,0.869929,
527,0.915560,
528,0.961800,
529,0.997788,
530,1.030633,
531,1.050376,
532,1.061733,
533,1.068838,
534,1.071492,
535,1.074688,
536,1.082572,
537,1.088823,
538,1.090699,
539,1.087154,
540,1.082595,
541,1.084595,
542,1.071732,
543,1.052431,
544,1.028958,
545,1.000694,
546,0.975953,
547,0.952454,
548,0.926401,
549,0.905512,
550,0.876704,
551,0.842749,
552,0.809643,
553,0.775643,
554,0.746989,
555,0.719817,
556,0.689529,
557,0.664488,
558,0.637741,
559,0.601750,
560,0.558915,
561,0.513519,
562,0.478026,
563,0.451154,
564,0.430035,
565,0.410171,
566,0.380487,
567,0.342384,
568,0.308854,
569,0.285771,
570,0.268829,
571,0.254659,
572,0.230213,
573,0.212339,
574,0.191403,
575,0.175070,
576,0.163313,
577,0.149059,
578,0.129970,
579,0.115240,
580,0.106838,
581,0.098629,
582,0.101246,
583,0.106198,
584,0.110765,
585,0.114063,
586,0.112944,
587,0.119702,
588,0.135534,
589,0.150461,
590,0.164962,
591,0.165724,
592,0.162955,
593,0.164983,
594,0.165550,
595,0.167087,
596,0.165191,
597,0.167531,
598,0.180305,
599,0.196774,
600,0.201520,
601,0.200722,
602,0.190926,
603,0.183844,
604,0.181833,
605,0.187415,
606,0.206146,
607,0.260138,
608,0.390632,
609,0.548808,
610,0.644601,
611,0.692625,
612,0.801742,
613,1.097355,
614,1.432075,
615,1.530682,
616,1.313478,
617,0.918935,
618,0.607643,
619,0.459291,
620,0.421255,
621,0.409605,
622,0.400952,
623,0.392416,
624,0.393633,
625,0.425374,
626,0.478619,
627,0.528436,
628,0.662413,
629,1.070438,
630,1.973325,
631,3.076606,
632,3.674671,
633,3.566795,
634,3.039687,
635,2.681669,
636,2.586535,
637,2.346060,
638,1.705504,
639,0.941801,
640,0.436217,
641,0.222956,
642,0.157478,
643,0.131546,
644,0.120482,
645,0.127989,
646,0.207534,
647,0.359212,
648,0.544744,
649,0.624751,
650,0.535426,
651,0.363566,
652,0.240328,
653,0.166270,
654,0.126824,
655,0.103058,
656,0.089767,
657,0.082109,
658,0.074467,
659,0.063083,
660,0.052668,
661,0.041710,
662,0.030995,
663,0.041670,
664,0.048096,
665,0.044764,
666,0.025247,
667,0.005443,
668,0.000845,
669,0.006128,
670,0.015082,
671,0.026384,
672,0.025839,
673,0.016622,
674,0.005801,
675,0.001077,
676,0.001140,
677,0.001146,
678,0.000635,
679,0.000000,
680,0.000074,
681,0.000336,
682,0.002339,
683,0.002507,
684,0.002749,
685,0.001088,
686,0.006684,
687,0.012064,
688,0.012207,
689,0.009996,
690,0.001713,
691,0.000152,
692,0.000416,
693,0.000324,
694,0.000327,
695,0.000402,
696,0.000696,
697,0.003455,
698,0.003770,
699,0.004523,
700,0.003452,
701,0.002007,
702,0.001713,
703,0.000000,
704,0.000000,
705,0.000000,
706,0.000000,
707,0.000000,
708,0.000000,
709,0.000000,
710,0.000000,
711,0.000000,
712,0.001003,
713,0.002163,
714,0.002232,
715,0.002041,
716,0.000110,
717,0.000000,
718,0.000000,
719,0.000000,
720,0.000000,
721,0.000000,
722,0.000000,
723,0.000000,
724,0.000247,
725,0.002235,
726,0.002351,
727,0.002368,
728,0.000834,
729,0.000000,
730,0.000000,
731,0.000000,
732,0.000000,
733,0.000000,
734,0.000000,
735,0.000000,
736,0.000079,
737,0.000158,
738,0.000160,
739,0.000161,
740,0.000342,
741,0.002630,
742,0.002658,
743,0.002691,
744,0.000916,
745,0.000000,
746,0.000000,
747,0.002135,
748,0.002583,
749,0.002619,
750,0.001766,
751,0.000773,
752,0.009210,
753,0.009321,
754,0.009437,
755,0.003178,
756,0.000000,
757,0.000000,
758,0.000319,
759,0.001835,
760,0.001858,
761,0.001884,
762,0.000536,
763,0.000000,
764,0.006819,
765,0.014122,
766,0.014296,
767,0.012677,
768,0.000612,
769,0.000355,
770,0.020922,
771,0.024561,
772,0.024463,
773,0.013208,
774,0.000743,
775,0.000745,
776,0.000749,
777,0.000378,
778,0.000000,
779,0.000105,
780,0.000266,
